"Run","p","OR","a","b","c","d","tissue"
"Run_Up4_Locus",0.325744179867789,1.44127311222673,7,27,22,104,"Adipose_Subcutaneous"
"Run_Up4_Locus",0.659360849224154,0.923929479643414,4,21,17,85,"Adipose_Visceral_Omentum"
"Run_Up4_Locus",0.768579712130032,0.748989051400162,1,12,6,58,"Adrenal_Gland"
"Run_Up4_Locus",0.603863739169841,1.03296830152829,3,21,13,93,"Artery_Aorta"
"Run_Up4_Locus",0.552248604880184,1.64261244251463,1,7,4,40,"Artery_Coronary"
"Run_Up4_Locus",0.287533521449215,1.46431735399546,9,37,23,115,"Artery_Tibial"
"Run_Up4_Locus",NA,NA,NA,NA,NA,NA,"Brain_Amygdala"
"Run_Up4_Locus",0.498124029670519,1.69852202315733,2,13,4,34,"Brain_Anterior_cingulate_cortex_BA24"
"Run_Up4_Locus",0.778466386554622,0.733341923814643,1,13,5,52,"Brain_Caudate_basal_ganglia"
"Run_Up4_Locus",0.337542546887592,1.84254268622552,3,14,9,61,"Brain_Cerebellar_Hemisphere"
"Run_Up4_Locus",0.337082822369481,1.66585480603688,4,20,11,74,"Brain_Cerebellum"
"Run_Up4_Locus",0.392591520543477,1.65623311010541,3,17,8,61,"Brain_Cortex"
"Run_Up4_Locus",0.320098317262242,2.06208659950371,3,13,7,45,"Brain_Frontal_Cortex_BA9"
"Run_Up4_Locus",0.407179487179487,2.21074527246764,2,9,4,27,"Brain_Hippocampus"
"Run_Up4_Locus",0.83680687128963,0.602658313615463,1,10,4,29,"Brain_Hypothalamus"
"Run_Up4_Locus",0.634414366121683,1.24302789835005,1,9,4,42,"Brain_Nucleus_accumbens_basal_ganglia"
"Run_Up4_Locus",0.843545351415459,0.569171204228226,1,13,5,44,"Brain_Putamen_basal_ganglia"
"Run_Up4_Locus",NA,NA,NA,NA,NA,NA,"Brain_Spinal_cord_cervical_c-1"
"Run_Up4_Locus",NA,NA,NA,NA,NA,NA,"Brain_Substantia_nigra"
"Run_Up4_Locus",0.496767710340511,1.4033613346727,2,15,8,76,"Breast_Mammary_Tissue"
"Run_Up4_Locus",0.622705518747434,0.954051290644408,10,41,33,132,"Cells_Cultured_fibroblasts"
"Run_Up4_Locus",NA,NA,NA,NA,NA,NA,"Cells_EBV-transformed_lymphocytes"
"Run_Up4_Locus",0.267035941954457,1.92424454169234,4,19,11,77,"Colon_Sigmoid"
"Run_Up4_Locus",0.20468333450146,2.07486780658665,5,19,13,74,"Colon_Transverse"
"Run_Up4_Locus",0.0526429876420786,4.45167711037159,4,12,10,73,"Esophagus_Gastroesophageal_Junction"
"Run_Up4_Locus",0.955167046370779,0.372743203455892,2,24,17,100,"Esophagus_Mucosa"
"Run_Up4_Locus",0.745577917733028,0.791002400939554,4,25,18,97,"Esophagus_Muscularis"
"Run_Up4_Locus",0.363209413256984,1.72766654902673,3,23,8,86,"Heart_Atrial_Appendage"
"Run_Up4_Locus",0.619219149478904,1.06569016271922,2,17,8,71,"Heart_Left_Ventricle"
"Run_Up4_Locus",NA,NA,NA,NA,NA,NA,"Kidney_Cortex"
"Run_Up4_Locus",NA,NA,NA,NA,NA,NA,"Liver"
"Run_Up4_Locus",0.845275335944987,0.592332113241147,2,25,11,95,"Lung"
"Run_Up4_Locus",0.783602150537634,0.747181841914588,1,10,4,33,"Minor_Salivary_Gland"
"Run_Up4_Locus",0.431404746811793,1.26236266723074,6,27,20,103,"Muscle_Skeletal"
"Run_Up4_Locus",0.182036610220874,1.74569882522558,9,26,28,108,"Nerve_Tibial"
"Run_Up4_Locus",0.740113798008535,0.869695153013161,1,11,4,40,"Ovary"
"Run_Up4_Locus",0.846092828377334,0.554384030941623,1,17,6,66,"Pancreas"
"Run_Up4_Locus",0.0831539031723944,4.20194752561017,4,16,7,58,"Pituitary"
"Run_Up4_Locus",NA,NA,NA,NA,NA,NA,"Prostate"
"Run_Up4_Locus",0.152448179451638,1.93126797314965,8,25,23,102,"Skin_Not_Sun_Exposed_Suprapubic"
"Run_Up4_Locus",0.0864631638940089,2.16251079755468,10,27,27,107,"Skin_Sun_Exposed_Lower_leg"
