"V1","V2","V3","V4","V5","V6","peakTF"
559,875,8229,12372,0.958955944422021,0.882662815446803,"BRD4_HUVEC-C"
370,875,5696,12372,0.990629183832706,0.848927850632051,"SMARCA4_NPC"
61,875,768,12372,0.183386793415751,1.14366170479032,"MTA3_GM12878"
638,875,8709,12372,0.0479875323174766,1.14267987434674,"JUN_HAEC"
240,875,3853,12372,0.994172625976409,0.824771392222373,"SKIL_GM12878"
390,875,6358,12372,0.999987925634614,0.744995292389,"MLLT1_GM12878"
588,875,8339,12372,0.568823228144119,0.99015783580542,"ASH2L_WA01"
490,875,7701,12372,0.999962091411484,0.756504898686715,"PKNOX1_GM12878"
505,875,8207,12372,0.99999998543076,0.67251162954201,"VDR_kidney-cortex"
82,875,938,12372,0.0247205680710004,1.28540200943717,"NFIC_GM12878"
584,875,8339,12372,0.681504958568489,0.968403477026374,"DPF2_GM12878"
293,875,3862,12372,0.0720060489786217,1.11829215234915,"MTA2_GM12878"
463,875,7386,12372,0.99998943665207,0.742513264584686,"RELB_GM12878"
99,875,994,12372,0.00025354461901338,1.51119162823637,"RELB_L1236"
425,875,6343,12372,0.9545735950413,0.890352973608285,"NFATC3_GM12878"
503,875,7709,12372,0.998935780855995,0.805198441170906,"TARDBP_GM12878"
484,875,6952,12372,0.718574116094053,0.96243848188402,"RELA_GM19099"
106,875,877,12372,1.95367581505171e-08,1.91752293863108,"RELA_GM12892"
701,875,9968,12372,0.656700419450115,0.969470479486978,"RELA_786-O"
307,875,4119,12372,0.129404197370223,1.08962486030423,"RELA_GM15510"
287,875,4429,12372,0.975287676200459,0.866701335815306,"RELA_LNCaP"
84,875,805,12372,0.0001704850304485,1.58709758261492,"RELA_GM18505"
753,875,10544,12372,0.253058334018153,1.07540094955798,"RELA_HAEC"
623,875,8577,12372,0.112929171394652,1.1012175471199,"RELA_HUVEC-C"
381,875,4622,12372,5.79020563751901e-05,1.31949275821918,"RELA_SGBS"
526,875,7728,12372,0.935971339180717,0.898825160535505,"RELA_GM12878"
788,875,11028,12372,0.198264459164832,1.1117956822269,"RELA_aortic-endothelial-cell"
203,875,2357,12372,0.000870079848597859,1.31025881783775,"RELA_GM12891"
233,875,3147,12372,0.211357299342563,1.0689820090655,"RELA_GM18526"
104,875,677,12372,1.48308272761653e-14,2.57132547360152,"RELA_IMR-90"
99,875,797,12372,1.52068663166086e-08,1.97366455781052,"RELA_GM10847"
84,875,1245,12372,0.698787482143284,0.945411529955128,"ATF2_GM12878"
481,875,7378,12372,0.998354238819479,0.814249586584958,"CBFB_GM12878"
4,875,58,12372,0.594392311484162,0.973170188343113,"HMGB1_IMR-90"
