V1,V2,V3,V4,V5,V6,peakTF
14,37,8346,12372,0.999945413,0.292471859,STAT3_HCC70
9,37,6864,12372,0.999972641,0.256981746,KDM5B_HCC2157
9,37,1147,12372,0.005612471,3.162136205,TEAD1_HUCCT1
9,37,4429,12372,0.952194193,0.575613539,RELA_LNCaP
12,37,8172,12372,0.999993135,0.245619311,TP53_IMR-90
18,37,10608,12372,0.999999985,0.156143897,SMARCB1_proliferating-human-fibroblast
15,37,10289,12372,0.999999999,0.136813365,SMARCB1_MCF-7
18,37,9441,12372,0.999935975,0.292806402,BRD4_HCC1395
10,37,5747,12372,0.995266377,0.425996881,BRD4_HEK293
5,37,741,12372,0.067874265,2.462151492,BRD4_Hs-352-Sk
11,37,4556,12372,0.857581934,0.725159782,BRD4_402-91
10,37,4540,12372,0.920971163,0.638154446,TEAD1_adipocyte
13,37,6490,12372,0.988939479,0.489931894,FOSL1_BT-549
10,37,2560,12372,0.221557952,1.421159919,NFIC_SK-N-SH
10,37,3232,12372,0.512721744,1.047542872,EP300_SK-N-SH
9,37,2269,12372,0.226476745,1.43286892,JUND_SK-N-SH
11,37,6628,12372,0.999047597,0.365625196,STAT3_HCC1187
10,37,7255,12372,0.999976863,0.260233087,TEAD4_hMSC-TERT4
4,37,1003,12372,0.352511497,1.375387406,MED1_adipocyte
15,37,8249,12372,0.999698649,0.339616338,MED1_U-87MG
16,37,7120,12372,0.972507482,0.561063911,MED1_hMSC-TERT4
2,37,593,12372,0.535270611,1.135495599,JUN_BT-549
17,37,7674,12372,0.984494472,0.519318272,IRF2_keratinocyte
11,37,8001,12372,0.999996646,0.230104048,NFKB1_HEK293T
6,37,1132,12372,0.117353921,1.926657673,FOSL2_SK-N-SH
11,37,7025,12372,0.99976583,0.32098535,TEAD4_MCF-7
8,37,1209,12372,0.024078712,2.557130716,TEAD4_SK-N-SH
18,37,9081,12372,0.999644111,0.342062042,ETS1_SCC-25
15,37,6498,12372,0.948224096,0.615485541,RAD21_IMR-90
18,37,9749,12372,0.999988565,0.253551416,SMC1A_primary-epidermal-keratinocyte
6,37,834,12372,0.03566849,2.689394731,ATF3_primary-dermal-fibroblasts
7,37,1521,12372,0.16204028,1.667611387,NR3C1_IMR-90
19,37,10086,12372,0.999993743,0.237845039,MAX_HeLa-S3
22,37,10481,12372,0.999956595,0.263110167,MAX_SK-N-SH
5,37,4405,12372,0.999356783,0.281805243,SNAI2_SMS-CTR
10,37,6466,12372,0.999503776,0.33729648,MYC_BJ
13,37,6652,12372,0.992827264,0.46475366,SMAD3_HCC1954
19,37,10182,12372,0.999996766,0.225627322,SMARCC1_Aska-SS
16,37,10079,12372,0.999999962,0.17205492,JUN_MCF-7
11,37,5801,12372,0.989185084,0.478285413,RELA_MCF-7
20,37,10526,12372,0.999998731,0.204846378,NELFE_HeLa
14,37,6632,12372,0.981852006,0.525858361,MYC_HeLa-S3
13,37,9245,12372,0.999999926,0.182091778,CHD1_hMSC-TERT
7,37,1212,12372,0.064741775,2.155006935,FOS_HeLa-S3
9,37,3100,12372,0.603637969,0.961250298,NCOA2_MCF-7
11,37,6921,12372,0.999656298,0.332183394,SUPT6H_HCT-116
11,37,7975,12372,0.99999618,0.23223618,SAP30_K-562
15,37,9343,12372,0.999998761,0.219848543,ZFP64_Hep-G2
9,37,8805,12372,0.999999999,0.129352981,ZFP64_HEK293
7,37,582,12372,0.001475831,4.770379723,HMGB2_HUVEC-C
10,37,2983,12372,0.399731968,1.16624779,SUPT16H_hiF-T
17,37,9689,12372,0.999996458,0.234067441,FOXK1_Hep-G2
5,37,5792,12372,0.999996839,0.176818405,CSNK2A1_LNCaP
5,37,1082,12372,0.218997915,1.633208505,RPA2_HeLa
13,37,9265,12372,0.999999936,0.18052732,ZNF692_HEK293
12,37,6936,12372,0.998924497,0.375140748,ZNF394_HEK293
14,37,9543,12372,0.999999943,0.179274265,HMGXB4_Hep-G2
13,37,7173,12372,0.998508363,0.391526028,CTBP1_MCF-7
13,37,9092,12372,0.999999798,0.194287925,CTBP1_K-562
18,37,9946,12372,0.999996728,0.229722743,AFF4_HeLa
13,37,8183,12372,0.999971423,0.276153515,AFF4_CD4
11,37,8187,12372,0.999998719,0.215246982,DMAP1_Hep-G2
12,37,8794,12372,0.999999776,0.194226047,RBBP5_K-562
13,37,2055,12372,0.004885792,2.729994022,FOS_CFPAC-1
10,37,3325,12372,0.554164119,1.007764399,JUN_T-cell
15,37,9265,12372,0.999998003,0.227442568,SP3_HEK293
3,37,2291,12372,0.977709743,0.387474368,MBD3_HEK293T
15,37,9618,12372,0.999999799,0.194007341,ZNF276_Hep-G2
11,37,5353,12372,0.968537891,0.553861453,SMC1A_MCF-7
