"V1","V2","V3","V4","V5","V6","peakTF"
9,28,10051,12372,0.999999998218438,0.108605791398719,"BRD4_K-562"
9,28,5885,12372,0.967575886927389,0.521435495824776,"RBFOX2_K-562"
3,28,542,12372,0.12222385735263,2.62799453026915,"NA_NA"
7,28,9664,12372,0.999999999734181,0.0927928841176918,"KDM4A_WA01"
8,28,10068,12372,0.999999999867402,0.0908413002271254,"RBBP5_WA01"
4,28,7005,12372,0.999999458011388,0.127221256731307,"PCGF1_WA01"
10,28,9112,12372,0.999994977256816,0.197911158485567,"STAT3_WA01"
2,28,3738,12372,0.999451556832604,0.17724444179619,"EP300_osteoblast"
7,28,8339,12372,0.999999237233933,0.160533245575379,"ASH2L_WA01"
10,28,10859,12372,0.999999999990449,0.0765858711461023,"BRD4_retina"
8,28,4971,12372,0.928850318003226,0.594906533333282,"GTF3C2_H9"
4,28,1905,12372,0.644900395323384,0.915553877739437,"BRF1_H9"
10,28,4713,12372,0.670285162241064,0.902608485010404,"NFIC_Ishikawa"
8,28,2560,12372,0.207789460084686,1.53473485712155,"NFIC_SK-N-SH"
10,28,10773,12372,0.999999999974316,0.0816366420842412,"CDKN1B_MDA-MB-231"
10,28,9270,12372,0.999997750806553,0.185055770235288,"ELL2_HeLa"
8,28,10177,12372,0.999999999948785,0.0855803317438847,"NELFCD_DLD-1"
8,28,5532,12372,0.97414842501388,0.493878384559768,"NR1H2_HT29"
9,28,9543,12372,0.99999993577669,0.139639862252004,"HMGXB4_Hep-G2"
7,28,8846,12372,0.999999945204428,0.132210068667376,"KLF9_HEK293"
3,28,5409,12372,0.999974755855223,0.154023872269864,"KLF9_MCF-7"
11,28,10404,12372,0.999999989621628,0.121530802850593,"KLF9_GBM1A"
2,28,1116,12372,0.732741224359877,0.775435012294647,"JARID2_UTEIPS6"
2,28,641,12372,0.429760897908342,1.40899103136162,"JARID2_UTEIPS11"
5,28,6135,12372,0.999895285485562,0.220403311571452,"FUS_Hep-G2"
11,28,8102,12372,0.998765887394035,0.340155341512579,"SKI_HL-60"
8,28,8348,12372,0.999995067810211,0.192072296162581,"SKI_Hep-G2"
5,28,8907,12372,0.999999999697839,0.0840753351329491,"RAD21_HAP1"
12,28,6498,12372,0.887777035349923,0.677408608391997,"RAD21_IMR-90"
7,28,7985,12372,0.999996169543123,0.182445163572331,"RAD21_hiPSC"
5,28,5283,12372,0.998677389395685,0.291064247592409,"RAD21_RH4"
9,28,9494,12372,0.999999912773308,0.142808187537614,"RAD21_HCT-116"
8,28,5015,12372,0.933846111428618,0.586164307320879,"RAD21_SLK"
9,28,8669,12372,0.999993036303427,0.201535915877048,"RAD21_HeLa-S3"
8,28,4373,12372,0.82803786789851,0.731197463786993,"RAD21_HUVEC-C"
8,28,9264,12372,0.999999957802434,0.133452539745507,"RAD21_HEK293"
7,28,4013,12372,0.852359459178623,0.693809896919162,"RAD21_HeLa-Tet-On"
4,28,3139,12372,0.949649785309737,0.489576118834982,"RAD21_T-47D"
8,28,3024,12372,0.37345852800393,1.2371266574713,"RAD21_Ishikawa"
5,28,5792,12372,0.999692449958064,0.246347454430965,"CSNK2A1_LNCaP"
11,28,9988,12372,0.99999977297617,0.153545089974002,"GTF2B_HeLa"
9,28,9863,12372,0.999999992612653,0.119723496135039,"TFDP2_Hep-G2"
9,28,8516,12372,0.999986252063779,0.213681538025206,"ARNT_SK-MEL-28"
7,28,7798,12372,0.999991570021849,0.194824114754055,"ARNT_501-mel"
6,28,4346,12372,0.961994111866131,0.502999409134756,"ZNF148_K-562"
13,28,9968,12372,0.999989032713974,0.208019089168493,"RELA_786-O"
10,28,7638,12372,0.998568536761489,0.343501509486073,"RELA_KB"
15,28,10544,12372,0.999988337281428,0.198936075442524,"RELA_HAEC"
12,28,8577,12372,0.999042566692576,0.330944008320089,"RELA_HUVEC-C"
10,28,7204,12372,0.995262617389507,0.397735929350602,"RELA_FaDu"
8,28,5092,12372,0.94191410154486,0.571229590537713,"RELA_786-M1A"
17,28,11028,12372,0.999985169553487,0.187137804482996,"RELA_aortic-endothelial-cell"
9,28,9061,12372,0.999998974966086,0.172296567600626,"RELA_CD4"
7,28,7614,12372,0.999982379865263,0.207598620081802,"CDK8_myometrium"
9,28,8342,12372,0.999971397236429,0.228033684896627,"CDK8_HCT-116"
6,28,4545,12372,0.974140117299107,0.468991815624309,"BACH1_WA01"
6,28,4735,12372,0.982453836406569,0.439193289553866,"STAG2_HCAEC"
9,28,9350,12372,0.999999792716232,0.152311550508453,"PHF5A_Hep-G2"
6,28,9317,12372,0.999999999741457,0.0888645109528467,"RBPJ_HCC1599"
10,28,8777,12372,0.999976278430334,0.226703093258175,"RBPJ_SCC"
7,28,7792,12372,0.999991359777759,0.195231148985431,"CCNT2_K-562"
10,28,10483,12372,0.999999999508001,0.0992544989991701,"CREB1_A-549"
9,28,10192,12372,0.999999999438234,0.100575893316956,"CREB1_WA01"
9,28,8254,12372,0.999959208501173,0.235522880085965,"CREB1_K-562"
6,28,8903,12372,0.999999996079274,0.105688233403237,"CREB1_LNCaP"
10,28,9485,12372,0.999999307110935,0.168251282109355,"CREB1_Hep-G2"
8,28,8306,12372,0.999994060187991,0.195068424892528,"CREB1_GM23338"
7,28,9949,12372,0.999999999973138,0.0805865905487357,"CREB1_LNCaP-abl"
10,28,9689,12372,0.999999795194065,0.152996717226212,"FOXK1_Hep-G2"
11,28,9461,12372,0.99999493802454,0.198177694231808,"SMAD3_Hep-G2"
13,28,9649,12372,0.999943340801707,0.243589667062343,"SMAD3_PC-3"
11,28,11023,12372,0.999999999980803,0.0783002405111748,"SMAD3_H69"
8,28,6557,12372,0.997560501587734,0.353975294446156,"SMAD3_breast-cancer"
4,28,299,12372,0.00433108786509368,6.80450767753157,"AFF4_HCT-116"
9,28,9946,12372,0.999999995996472,0.114767165608333,"AFF4_HeLa"
7,28,8444,12372,0.999999542861507,0.154387711917936,"REST_hiPSC"
7,28,7340,12372,0.999950551136115,0.227809756455625,"REST_PANC-1"
7,28,9092,12372,0.999999987040906,0.119608540566045,"CTBP1_K-562"
10,28,9540,12372,0.999999495987376,0.164074239288866,"KLF6_Hep-G2"
7,28,5391,12372,0.987327861620994,0.43093951099622,"KLF6_786-M1A"
6,28,9405,12372,0.999999999862354,0.085479562125388,"HNRNPLL_K-562"
8,28,10105,12372,0.999999999903452,0.0890427279588799,"HNRNPLL_Hep-G2"
9,28,9351,12372,0.999999793923795,0.152244544785055,"HEXIM1_HCT-116"
6,28,6504,12372,0.999832284928048,0.245358587441224,"CXXC5_prostate-cancer"
6,28,5970,12372,0.999154606611909,0.291794977729604,"EP300_WA01"
5,28,5471,12372,0.999213805046037,0.27357790424719,"EP300_T-47D"
10,28,7530,12372,0.998040758333048,0.356412630842104,"EP300_Hep-G2"
6,28,5304,12372,0.995137608634425,0.362744513327891,"EP300_fibroblast"
10,28,6862,12372,0.989133623674073,0.44531347689416,"EP300_Ishikawa"
8,28,3232,12372,0.454578686627044,1.13148588179841,"EP300_SK-N-SH"
6,28,7608,12372,0.999997169804858,0.170146261320418,"WDR5_SMMC-7721"
7,28,9068,12372,0.999999985003313,0.12080773956339,"CBX1_Hep-G2"
7,28,8049,12372,0.999997104033676,0.178340778909611,"SIN3B_Hep-G2"
7,28,10137,12372,0.999999999994987,0.0728520272461109,"HDAC2_WA01"
6,28,6252,12372,0.999630888026577,0.266315522447935,"TEAD4_BJ"
6,28,1209,12372,0.049879987012488,2.52546075035237,"TEAD4_SK-N-SH"
11,28,7326,12372,0.989814904722334,0.444872944262814,"TEAD4_Ishikawa"
7,28,9598,12372,0.999999999564766,0.0957235272671575,"NCBP1_DLD-1"
5,28,3313,12372,0.904859547155565,0.593813551148135,"RXRA_Hep-G2"
8,28,4862,12372,0.915189481272818,0.617246129750379,"RXRA_JMSU-1"
12,28,9455,12372,0.999971320664791,0.230473482072181,"HIF1A_PC-3"
12,28,10444,12372,0.999999932569279,0.13749689597587,"HIF1A_BEAS-2B"
4,28,5001,12372,0.999393469393782,0.245069876113714,"EPAS1_501-mel"
9,28,8732,12372,0.999994791883177,0.19665949943236,"L3MBTL2_K-562"
7,28,9479,12372,0.999999998974492,0.101111118114815,"SIRT6_SK-MEL-239"
10,28,8132,12372,0.999707102101411,0.288821577262051,"SS18_BIN-67"
8,28,10794,12372,0.999999999999929,0.0578067338753387,"KDM4A_hiPSC"
6,28,8216,12372,0.999999826196436,0.137350065196012,"CTCF_gastrocnemius-medialis"
6,28,7965,12372,0.999999418606108,0.150281942586942,"CTCF_lung"
5,28,6048,12372,0.999861327386521,0.226705023624646,"CTCF_neuron"
5,28,4697,12372,0.994132630490712,0.354561830750059,"CTCF_OVCAR-8"
7,28,7340,12372,0.999950551136115,0.227809756455625,"CTCF_K-562"
4,28,4181,12372,0.994729742287709,0.325895386987691,"CTCF_RH4"
9,28,10044,12372,0.999999998117243,0.1090145001939,"CTCF_gastroesophageal-sphincter"
9,28,9565,12372,0.999999944136957,0.138227917086957,"CTCF_anterior-temporal-cortex"
9,28,9469,12372,0.999999898264535,0.144437323904496,"CTCF_retina"
8,28,9049,12372,0.999999851911857,0.146185958077565,"CTCF_THP-1"
7,28,7139,12372,0.99989936714564,0.243623674904684,"CTCF_keratinocyte"
8,28,9275,12372,0.999999960534121,0.132820198131,"CTCF_MM1-S"
7,28,7177,12372,0.999911763990059,0.24056601090635,"CTCF_neural"
7,28,8993,12372,0.999999976511993,0.124596674663338,"CTCF_SUM159"
9,28,9849,12372,0.999999991827006,0.120567743749858,"CTCF_heart"
5,28,7850,12372,0.999999885888254,0.124675619408594,"CTCF_esophagus-muscularis-mucosa"
6,28,6354,12372,0.999730255983177,0.257657560379216,"CTCF_HEC-1-B"
6,28,5524,12372,0.997186627524267,0.337412587018628,"CTCF_tibial-nerve"
8,28,9357,12372,0.999999976246372,0.128154051696682,"CTCF_prostate"
10,28,9390,12372,0.999998819355974,0.175581537198131,"CTCF_nerve"
3,28,2167,12372,0.891005203501472,0.564535512194391,"CTCF_GM20000"
8,28,9337,12372,0.999999973076017,0.129284437244624,"CTCF_T-47D"
8,28,6848,12372,0.998910413086282,0.321899592782907,"CTCF_786-O"
5,28,5318,12372,0.998797534271301,0.28771505013879,"CTCF_stomach"
7,28,6188,12372,0.998168959592676,0.33237064269728,"CTCF_artery"
12,28,10520,12372,0.99999996345178,0.131050589803889,"BRD9_MDA-MB-231"
9,28,9342,12372,0.999999782815287,0.152848113188437,"TBX2_Hep-G2"
9,28,10030,12372,0.999999997898453,0.109833746986103,"JUN_MDA-MB-231"
9,28,8325,12372,0.9999693427918,0.229468109786646,"JUN_HUES-8"
10,28,10574,12372,0.999999999793813,0.0936403658217341,"JUN_MDA-BoM-1833"
10,28,10036,12372,0.999999980381703,0.128474642851396,"CBFB_ME-1"
7,28,8077,12372,0.999997441683034,0.176565587797181,"CBFB_SKNO-1"
8,28,9909,12372,0.999999999512274,0.0987233424491874,"CBFB_Hep-G2"
2,28,1322,12372,0.816544620446476,0.642443782933287,"CBFB_SaOS-2"
10,28,9222,12372,0.999997113935737,0.188914571923802,"YY1_SK-N-SH"
10,28,9918,12372,0.999999954535881,0.136620941291908,"YY1_Ishikawa"
10,28,10062,12372,0.999999983804516,0.12669321426259,"YY1_HCT-116"
10,28,10235,12372,0.999999995766017,0.115163390946679,"YY1_K-562"
10,28,10635,12372,0.999999999888029,0.0899122337504895,"YY1_Hep-G2"
7,28,9599,12372,0.999999999567964,0.0956788215996603,"YY1_WA01"
8,28,8971,12372,0.999999771863005,0.150935172281964,"ZFX_HEK293T"
9,28,2682,12372,0.133533445300386,1.71371659636647,"FOS_endothelial"
7,28,3337,12372,0.662884239144909,0.902310762242472,"FOS_MNNG-HOS"
10,28,10018,12372,0.999999977628756,0.129704980927662,"ZBTB7A_K-562"
7,28,10205,12372,0.99999999999737,0.0701468095676094,"ZBTB7A_VCaP"
5,28,8337,12372,0.999999990787176,0.104696946210934,"ZBTB7A_Ishikawa"
6,28,7191,12372,0.999984914756153,0.195848684092245,"ZBTB7A_Hep-G2"
9,28,9135,12372,0.999999308002709,0.167058742313229,"RARA_TSU-1621MT"
7,28,8547,12372,0.999999727768926,0.148506183250334,"HNRNPC_Hep-G2"
