"Run","p","OR","a","b","c","d","tissue"
"Run_Up4_Locus",0.677857468367862,0.905913157756978,24,51,78,160,"SMC_biobank"
"Run_Up8_Locus",0.787630640876802,0.741874270723785,6,17,23,57,"SMC_biobank"
"Run_Up24_Locus",0.0346322460313462,4.48344551671825,6,10,19,63,"SMC_biobank"
"Run_Down4_Locus",0.775922737059882,0.789820004116418,13,30,46,97,"SMC_biobank"
"Run_Down8_Locus",0.587287390680049,1.12143888412895,8,12,24,37,"SMC_biobank"
"Run_Down24_Locus",0.44048655746769,1.41318125255155,4,10,19,57,"SMC_biobank"
"Run_Up4Del_Locus",0.0465202918019275,1.81730941293925,31,55,82,178,"SMC_biobank"
"Run_Down4Del_Locus",0.631926499477247,0.949313616451031,17,32,60,111,"SMC_biobank"
"Run_All-same_Locus",0.28012269533412,1.15125857611786,61,130,213,480,"SMC_biobank"
"Run_All-delayed_Locus",NA,NA,NA,NA,NA,NA,"SMC_biobank"
"Run_Up4_Promoter",0.694995846895118,0.878616182304446,11,51,37,160,"SMC_biobank"
"Run_Up8_Promoter",0.343434343434344,2.4869944903884,2,17,4,57,"SMC_biobank"
"Run_Up24_Promoter",0.662119302904455,1.06556527104467,1,10,6,63,"SMC_biobank"
"Run_Down4_Promoter",0.836025539739292,0.636120681502311,3,30,13,97,"SMC_biobank"
"Run_Down8_Promoter",0.791204083473272,0.714806507677621,3,12,11,37,"SMC_biobank"
"Run_Down24_Promoter",0.350423943162171,1.78876012178571,3,10,12,57,"SMC_biobank"
"Run_Up4Del_Promoter",0.0178180170969497,2.35043791570912,18,55,39,178,"SMC_biobank"
"Run_Down4Del_Promoter",0.580835819928481,1.03361426322387,5,32,17,111,"SMC_biobank"
"Run_All-same_Promoter",0.52154819077077,1.01835982351263,23,130,84,480,"SMC_biobank"
"Run_All-delayed_Promoter",NA,NA,NA,NA,NA,NA,"SMC_biobank"
"Run_Up4_Exon",0.821380243097868,0.742091448979878,10,51,37,160,"SMC_biobank"
"Run_Up8_Exon",0.992100992736822,0.168785645788692,1,17,12,57,"SMC_biobank"
"Run_Up24_Exon",0.373142390914844,1.93391704668902,2,10,8,63,"SMC_biobank"
"Run_Down4_Exon",0.61784553564844,0.970408854995113,7,30,23,97,"SMC_biobank"
"Run_Down8_Exon",0.950917149471098,0.403064783321117,4,12,18,37,"SMC_biobank"
"Run_Down24_Exon",0.0881113181656437,3.69654567779758,4,10,11,57,"SMC_biobank"
"Run_Up4Del_Exon",0.0103081103751562,2.47054331734761,20,55,43,178,"SMC_biobank"
"Run_Down4Del_Exon",0.82137388945281,0.722076069040592,8,32,33,111,"SMC_biobank"
"Run_All-same_Exon",0.731646105205125,0.8832642456736,28,130,111,480,"SMC_biobank"
"Run_All-delayed_Exon",NA,NA,NA,NA,NA,NA,"SMC_biobank"
"Run_Up4_Intron",0.406275269338073,1.15434752458384,19,51,56,160,"SMC_biobank"
"Run_Up8_Intron",0.561637939841373,1.09665774986875,5,17,16,57,"SMC_biobank"
"Run_Up24_Intron",0.113603348766701,3.18399308955787,4,10,13,63,"SMC_biobank"
"Run_Down4_Intron",0.885284182976111,0.637847788425709,9,30,36,97,"SMC_biobank"
"Run_Down8_Intron",0.497614967581597,1.28339409458685,7,12,20,37,"SMC_biobank"
"Run_Down24_Intron",0.630522397638301,1.01002746953548,3,10,17,57,"SMC_biobank"
"Run_Up4Del_Intron",0.127863821791924,1.54424102844655,23,55,62,178,"SMC_biobank"
"Run_Down4Del_Intron",0.838227793337,0.723007386068766,14,32,55,111,"SMC_biobank"
"Run_All-same_Intron",0.283094243716338,1.15678666332158,47,130,162,480,"SMC_biobank"
"Run_All-delayed_Intron",NA,NA,NA,NA,NA,NA,"SMC_biobank"
"Run_Up4_Splice",0.211478329913362,1.76101939489279,7,51,16,160,"SMC_biobank"
"Run_Up8_Splice",NA,NA,NA,NA,NA,NA,"SMC_biobank"
"Run_Up24_Splice",NA,NA,NA,NA,NA,NA,"SMC_biobank"
"Run_Down4_Splice",0.912284705028735,0.463548874028403,2,30,11,97,"SMC_biobank"
"Run_Down8_Splice",0.715303386784771,0.860683178323572,3,12,10,37,"SMC_biobank"
"Run_Down24_Splice",0.704103327986148,0.934457436618915,1,10,6,57,"SMC_biobank"
"Run_Up4Del_Splice",0.186949441070736,1.84040215421211,7,55,16,178,"SMC_biobank"
"Run_Down4Del_Splice",0.683616705671294,0.884074433928324,4,32,15,111,"SMC_biobank"
"Run_All-same_Splice",0.595424991074695,0.969198010929835,13,130,49,480,"SMC_biobank"
"Run_All-delayed_Splice",NA,NA,NA,NA,NA,NA,"SMC_biobank"
"Run_Up4_TTS",0.866138714488501,0.633491298674798,5,51,21,160,"SMC_biobank"
"Run_Up8_TTS",0.630522397638301,1.01002746953548,3,17,10,57,"SMC_biobank"
"Run_Up24_TTS",0.306455411224934,2.3588589067499,2,10,7,63,"SMC_biobank"
"Run_Down4_TTS",0.888658983216358,0.591280740404111,5,30,22,97,"SMC_biobank"
"Run_Down8_TTS",0.502385032418403,1.26440601318057,6,12,17,37,"SMC_biobank"
"Run_Down24_TTS",0.0602085765938795,5.98980830246844,3,10,6,57,"SMC_biobank"
"Run_Up4Del_TTS",0.710728602605822,0.851424917518881,7,55,25,178,"SMC_biobank"
"Run_Down4Del_TTS",0.62633743122551,0.95314776668278,9,32,32,111,"SMC_biobank"
"Run_All-same_TTS",0.472523501111149,1.05162249409703,24,130,86,480,"SMC_biobank"
"Run_All-delayed_TTS",NA,NA,NA,NA,NA,NA,"SMC_biobank"
