"EnsID","EnsName","EnsType","Pt151...0","Pt157...0","Pt134...0","Pt2279...0","Pt151...4","Pt157...4","Pt134...4","Pt2279...4","Pt151...8","Pt157...8","Pt134...8","Pt2279...8","Pt151...24","Pt157...24","Pt134...24","Pt2279...24","Hour0_meanFPKM","Hour0_seFPKM","Hour4_meanFPKM","Hour4_seFPKM","Hour8_meanFPKM","Hour8_seFPKM","Hour24_meanFPKM","Hour24_seFPKM","fpkm_max_treatment","padj","LogFC_0_4","preadj_0_4","LogFC_4_8","preadj_4_8","LogFC_8_24","preadj_8_24","LogFC_0_8","preadj_0_8","LogFC_0_24","preadj_0_24","LogFC_4_24","preadj_4_24","V55","TF","CC","GeneClassUpdate","RegulationStart"
"ENSG00000003402.19","CFLAR","protein_coding",26.99,21.27,17.77,23.5,76.86,51.64,74.58,60.98,33.21,28.11,44.28,34.39,37.01,27.14,43.94,32.88,22.38,1.94,66.02,5.94,35,3.38,35.24,3.54,66.02,2.12e-19,1.55,1.92e-19,-0.607,0.0021,-0.406,0.0679,0.94,2.38e-07,0.534,0.00931,-1.01,1.6e-08,"Protein coding",NA,NA,"Protein coding","Induced <4hrs"
"ENSG00000004139.13","SARM1","protein_coding",2.76,1.56,3.79,1.36,2.61,1.46,1.81,1,1.83,2.01,0.94,1.22,1.15,0.81,0.83,1.17,2.37,0.57,1.72,0.34,1.5,0.25,0.99,0.1,2.37,0.0359,-0.517,0.447,0.193,0.835,-0.991,0.0656,-0.324,0.686,-1.31,0.00775,-0.798,0.17,"Protein coding",NA,NA,"Protein coding","Repressed 8-24hrs"
"ENSG00000005100.12","DHX33","protein_coding",4.55,3.21,3.33,4.11,5.34,3.64,3.88,5.14,3.02,3.34,3.19,8.03,4.03,2.35,4.09,3.97,3.8,0.32,4.5,0.43,4.39,1.21,3.61,0.42,4.5,0.0289,0.229,0.509,0.177,0.64,-0.609,0.0129,0.405,0.146,-0.204,0.575,-0.432,0.114,"Protein coding",NA,NA,"Protein coding","Repressed 8-24hrs"
"ENSG00000006194.9","ZNF263","protein_coding",18.99,19.07,11.78,21.64,19.93,22.18,19.24,23.79,25.34,17.66,16.72,21.17,13.73,12.41,12.52,12.42,17.87,2.12,21.28,1.04,20.22,1.96,12.77,0.32,21.28,0.000237,0.28,0.505,0.243,0.582,-1.09,5.81e-05,0.523,0.116,-0.57,0.0783,-0.85,0.00314,"Protein coding","TF",NA,"TF","Repressed 8-24hrs"
"ENSG00000011454.16","RABGAP1","protein_coding",25.31,8.71,14.81,14.4,11.42,4.4,9.14,8.61,2.92,3.2,6.92,12.28,12.17,4.23,12.7,9.28,15.81,3.46,8.39,1.46,6.33,2.18,9.59,1.94,15.81,0.000508,-0.917,0.00751,-0.201,0.731,0.255,0.638,-1.12,0.000643,-0.864,0.0133,0.0534,0.944,"Protein coding",NA,NA,"Protein coding","Repressed <4hrs"
"ENSG00000012048.20","BRCA1","protein_coding",0.57,0.2,0.19,0.76,0.36,0.11,0.18,0.68,0.13,0.11,0.12,0.45,2.67,0.67,1.81,3.76,0.43,0.14,0.33,0.13,0.2,0.08,2.23,0.65,2.23,1.96e-37,-0.437,0.374,-0.339,0.573,3.06,1.67e-23,-0.775,0.0642,2.29,5.62e-16,2.72,2.43e-20,"Protein coding",NA,"Cell cycle","CC","Induced 8-24hrs"
"ENSG00000012963.14","UBR7","protein_coding",5.94,3.8,4.83,4.19,6.28,4.06,5.95,5.99,5.18,3.86,5.44,6.42,8.97,4.9,8.17,9.48,4.69,0.47,5.57,0.51,5.22,0.53,7.88,1.03,7.88,0.0158,0.231,0.464,0.212,0.513,0.165,0.639,0.444,0.0726,0.608,0.00659,0.377,0.147,"Protein coding",NA,NA,"Protein coding","Induced 8-24hrs"
"ENSG00000013523.9","ANGEL1","protein_coding",1.92,1.59,2.15,2.34,1.25,1.24,1.17,1.24,0.74,1.17,0.8,0.95,1.46,1.22,1.77,2.13,2,0.16,1.23,0.02,0.92,0.1,1.65,0.2,2,0.0118,-0.713,0.0259,-0.0982,0.874,0.402,0.31,-0.811,0.00873,-0.409,0.287,0.304,0.489,"Protein coding",NA,NA,"Protein coding","Repressed <4hrs"
"ENSG00000014138.8","POLA2","protein_coding",3.37,1.87,1.78,2.79,1.74,2.99,3.18,2.93,3.44,2.9,3.82,3.68,5.37,12.03,7.36,10.28,2.45,0.38,2.71,0.33,3.46,0.2,8.76,1.48,8.76,9.2e-07,0.152,0.853,0.701,0.155,0.899,0.0438,0.852,0.0647,1.75,4.81e-06,1.6,3.85e-05,"Protein coding",NA,"Cell cycle","CC","Induced 8-24hrs"
"ENSG00000018408.14","WWTR1","protein_coding",29.26,10.64,28.52,20.17,30.91,10.15,25.41,14.7,11.81,9.97,25.72,23.85,40.01,22.8,64.91,31.19,22.15,4.35,20.29,4.77,17.84,4.05,39.73,9.1,39.73,0.000195,-0.143,0.756,0.128,0.787,0.753,0.00375,-0.0157,0.98,0.737,0.00475,0.881,0.000444,"Protein coding",NA,NA,"Protein coding","Induced 8-24hrs"
