"geneID","AnchorGene","CAT_geneClassII","mid.x","mid.y","AbsDistLnc_PCG","DistLnc_PCG","pairs"
"ENSG00000107625.8","CATG00000000010.1","coding_mRNA",69123902.5,68901296.5,222.606,222.606,"CATG00000000010.1-ENSG00000107625.8"
"ENSG00000122862.4","CATG00000000010.1","coding_mRNA",69123902.5,69088107,35.7955,35.7955,"CATG00000000010.1-ENSG00000122862.4"
"ENSG00000122958.10","CATG00000000010.1","coding_mRNA",69123902.5,69124204.5,0.302,-0.302,"CATG00000000010.1-ENSG00000122958.10"
"ENSG00000156502.9","CATG00000000010.1","coding_mRNA",69123902.5,69180256,56.3535,-56.3535,"CATG00000000010.1-ENSG00000156502.9"
"ENSG00000156510.11","CATG00000000010.1","coding_mRNA",69123902.5,69220332.5,96.43,-96.43,"CATG00000000010.1-ENSG00000156510.11"
"ENSG00000156515.17","CATG00000000010.1","coding_mRNA",69123902.5,69318880.5,194.978,-194.978,"CATG00000000010.1-ENSG00000156515.17"
"ENSG00000165732.8","CATG00000000010.1","coding_mRNA",69123902.5,68956173,167.7295,167.7295,"CATG00000000010.1-ENSG00000165732.8"
"ENSG00000198954.4","CATG00000000010.1","coding_mRNA",69123902.5,68988796.5,135.106,135.106,"CATG00000000010.1-ENSG00000198954.4"
"ENSG00000122862.4","CATG00000000011.1","coding_mRNA",69179931,69088107,91.824,91.824,"CATG00000000011.1-ENSG00000122862.4"
"ENSG00000122958.10","CATG00000000011.1","coding_mRNA",69179931,69124204.5,55.7265,55.7265,"CATG00000000011.1-ENSG00000122958.10"
"ENSG00000156502.9","CATG00000000011.1","coding_mRNA",69179931,69180256,0.325,-0.325,"CATG00000000011.1-ENSG00000156502.9"
"ENSG00000156510.11","CATG00000000011.1","coding_mRNA",69179931,69220332.5,40.4015,-40.4015,"CATG00000000011.1-ENSG00000156510.11"
"ENSG00000156515.17","CATG00000000011.1","coding_mRNA",69179931,69318880.5,138.9495,-138.9495,"CATG00000000011.1-ENSG00000156515.17"
"ENSG00000165732.8","CATG00000000011.1","coding_mRNA",69179931,68956173,223.758,223.758,"CATG00000000011.1-ENSG00000165732.8"
"ENSG00000198954.4","CATG00000000011.1","coding_mRNA",69179931,68988796.5,191.1345,191.1345,"CATG00000000011.1-ENSG00000198954.4"
"ENSG00000107736.15","CATG00000000086.1","coding_mRNA",71889114,71751797,137.317,137.317,"CATG00000000086.1-ENSG00000107736.15"
"ENSG00000107738.15","CATG00000000086.1","coding_mRNA",71889114,71773530,115.584,115.584,"CATG00000000086.1-ENSG00000107738.15"
"ENSG00000107742.8","CATG00000000086.1","coding_mRNA",71889114,72088585,199.471,-199.471,"CATG00000000086.1-ENSG00000107742.8"
"ENSG00000122863.5","CATG00000000086.1","coding_mRNA",71889114,71964246,75.132,-75.132,"CATG00000000086.1-ENSG00000122863.5"
"ENSG00000197746.9","CATG00000000086.1","coding_mRNA",71889114,71851297,37.817,37.817,"CATG00000000086.1-ENSG00000197746.9"
"ENSG00000123473.11","CATG00000000098.1","coding_mRNA",47191804.5,47314065,122.2605,-122.2605,"CATG00000000098.1-ENSG00000123473.11"
"ENSG00000162366.3","CATG00000000098.1","coding_mRNA",47191804.5,47190306.5,1.498,1.498,"CATG00000000098.1-ENSG00000162366.3"
"ENSG00000162368.9","CATG00000000098.1","coding_mRNA",47191804.5,47333798,141.9935,-141.9935,"CATG00000000098.1-ENSG00000162368.9"
"ENSG00000107745.12","CATG00000000131.1","coding_mRNA",72601427,72626077.5,24.6505,-24.6505,"CATG00000000131.1-ENSG00000107745.12"
