primiRID,primiRname,miRname,locus,strand,Stars,nameStars,Pt134_0h,Pt151_0h,Pt157_0h,Pt2279_0h,Pt134_4h,Pt151_4h,Pt157_4h,Pt2279_4h,Pt134_8h,Pt151_8h,Pt157_8h,Pt2279_8h,Pt134_24h,Pt151_24h,Pt157_24h,Pt2279_24h,Hour0_meanrpm,Hour0_serpm,Hour4_meanrpm,Hour4_serpm,Hour8_meanrpm,Hour8_serpm,Hour24_meanrpm,Hour24_serpm,rpm_max_treatment,padj_LRT,LogFC_0_4,preadj_0_4,LogFC_4_8,preadj_4_8,LogFC_8_24,preadj_8_24,LogFC_0_8,preadj_0_8,LogFC_0_24,preadj_0_24,LogFC_4_24,preadj_4_24,DE_LRT,DE_pairs,DE_consensus
MI0000060,hsa-let-7a-1,hsa-let-7a-3p,chr9:94176013-94176033,+,<1% RPMM,hsa-let-7a-3p***,40.14534527,72.72064142,37.29907832,34.980152,39.59794302,72.68093494,25.27663479,28.31596175,42.15749155,32.65833186,15.2998646,65.62842389,30.44864324,45.84927391,20.02149264,27.12400976,46.28630425,8.874518143,41.46786862,10.85080964,38.93602797,10.49182029,30.86085489,5.448840922,46.28630425,0.95964879,-0.188844463,1,-0.076200837,1,-0.325856811,1,-0.2650453,1,-0.590902111,1,-0.402057648,1,NA,NA,Stable
MI0000060,hsa-let-7a-1,hsa-let-7a-5p,chr9:94175962-94175983,+,Single miR only,hsa-let-7a-5p,45764.57846,51221.06348,38222.59194,63433.82199,52410.37079,40051.19136,32095.66073,44082.78669,53995.83064,32690.26766,22419.74159,56259.59064,49697.70964,38980.99483,23759.52707,48277.1047,49660.51397,5308.355856,42160.00239,4227.934965,41341.35763,8243.978989,40178.83406,5966.709313,49660.51397,0.769167483,-0.206659813,1,-0.141311238,1,0.010880317,1,-0.347971052,0.930245516,-0.337090735,0.972720231,-0.130430921,1,NA,NA,Stable
MI0000061,hsa-let-7a-2,hsa-let-7a-2-3p,chr11:122146523-122146544,-,<1% RPMM,hsa-let-7a-2-3p***,18.16098953,8.167087421,11.99931589,8.32860762,10.26613338,9.9072523,14.16363156,11.47944395,17.85710341,15.89564825,17.67984353,12.85849527,15.62850715,10.99225494,15.56018178,15.01507683,11.66400012,2.339454166,11.4541153,0.963768909,16.07277261,1.1593628,14.29900518,1.110761662,16.07277261,0.643799133,0.046676186,1,0.438719263,0.915731374,-0.153779486,1,0.485395449,0.778209546,0.331615963,1,0.284939777,1,NA,NA,Stable
MI0000061,hsa-let-7a-2,hsa-let-7a-5p,chr11:122146568-122146589,-,Single miR only,hsa-let-7a-5p,95564.08272,72794.03333,53677.99995,96953.69146,107447.5518,61428.04467,56797.03418,78147.27132,102176.5048,63385.48696,41249.28494,85543.72815,96928.40554,66556.22343,42135.34007,66888.53461,79747.45187,10304.47656,75954.97549,11455.15516,73088.7512,13257.47841,68127.12591,11214.15951,79747.45187,0.950666237,-0.037763255,1,-0.13969039,1,-0.054649642,1,-0.177453644,1,-0.232103286,1,-0.194340032,1,NA,NA,Stable
MI0000062,hsa-let-7a-3,hsa-let-7a-3p,chr22:46112800-46112820,+,<1% RPMM,hsa-let-7a-3p***,27.71940507,30.20703567,22.26379094,18.50801693,19.65231246,34.96677282,17.32321091,17.79313812,16.56844646,30.92426114,20.22982097,35.56960379,17.51470629,23.14158936,15.2337444,14.53071952,24.67456215,2.641297493,22.43385858,4.207789841,25.82303309,4.452991162,17.60518989,1.952264244,25.82303309,0.753923614,-0.148581674,1,0.19396961,1,-0.525526256,0.792515632,0.045387935,1,-0.480138321,0.932295531,-0.331556647,1,NA,NA,Stable
MI0000062,hsa-let-7a-3,hsa-let-7a-5p,chr22:46112752-46112773,+,Single miR only,hsa-let-7a-5p,32073.26334,18632.7065,21682.61925,28891.01443,26122.32303,16073.64269,22009.08499,25316.95701,24316.22021,24808.19372,24523.47297,23286.40094,22765.21105,16829.86549,18766.66735,20148.0535,25319.90088,3113.266544,22380.50193,2282.878623,24233.57196,331.4358199,19627.44935,1247.798002,25319.90088,0.728163779,-0.135247315,1,0.095748915,1,-0.294563172,0.905874565,-0.0394984,1,-0.334061571,0.701151093,-0.198814257,1,NA,NA,Stable
MI0000063,hsa-let-7b,hsa-let-7b-3p,chr22:46113745-46113766,+,<10% RPMM,hsa-let-7b-3p**,404.0023635,285.1767923,299.8383273,398.1074442,265.1595592,221.7892448,250.1515236,442.7238884,290.8682823,481.2046242,323.507137,301.7571551,250.8644855,178.6241428,273.3368995,467.8891684,346.7812318,31.50050429,294.956054,50.06994432,349.3342997,44.47722704,292.678674,61.79919365,349.3342997,0.978328934,-0.236103342,1,0.270567166,1,-0.321512735,1,0.034463824,1,-0.287048911,1,-0.050945569,1,NA,NA,Stable
MI0000063,hsa-let-7b,hsa-let-7b-5p,chr22:46113691-46113712,+,Single miR only,hsa-let-7b-5p,29178.01928,14963.44669,15270.64746,20601.82889,23357.06668,12435.18347,13786.66106,21543.47246,21723.62653,17902.25708,16108.88744,16462.88178,19279.91923,10515.39357,10262.75598,15261.85689,20003.48558,3320.790969,17780.59592,2735.282069,18049.41321,1284.660159,13829.98141,2149.877505,20003.48558,0.07573713,-0.12757918,1,0.022023318,1,-0.411208105,0.253277248,-0.105555862,1,-0.516763966,0.03642412,-0.389184786,0.341571729,NA,NA,Stable
MI0000064,hsa-let-7c,hsa-let-7c-3p,chr21:16539883-16539904,+,<1% RPMM,hsa-let-7c-3p***,4.301286993,5.817651313,3.035971491,6.107645588,1.173272386,0.416271105,0.435804048,2.29588879,1.656844646,2.890117863,0.169998496,1.33594756,3.502941258,3.905143204,2.82912396,7.023181099,4.815638846,0.713272045,1.080309082,0.441834186,1.513227141,0.559176872,4.31509738,0.92958299,4.815638846,0.000270349,-2.30421534,0.001872366,0.549251141,1,1.58710931,0.139484481,-1.754964199,0.053453484,-0.167854888,1,2.136360452,0.00622781,DE,DE,DE
MI0000064,hsa-let-7c,hsa-let-7c-5p,chr21:16539838-16539859,+,Single miR only,hsa-let-7c-5p,3128.310099,3563.535185,2222.620272,4311.627625,2799.86789,2862.613135,2079.656918,3977.053357,2603.271127,3497.042615,2003.43227,3337.530992,2608.343952,2980.492074,1660.369327,3648.421492,3306.523295,436.1665901,2929.797825,391.6715548,2860.319251,345.6246428,2724.406711,414.8322097,3306.523295,0.456224907,-0.132611856,1,-0.080982025,1,-0.066866492,1,-0.21359388,0.859379507,-0.280460372,0.341571729,-0.147848517,1,NA,NA,Stable
MI0000065,hsa-let-7d,hsa-let-7d-3p,chr9:94178895-94178916,+,<10% RPMM,hsa-let-7d-3p**,146.5623716,91.96364192,144.2809309,104.0150552,100.6081071,72.84744338,116.1417788,130.865661,103.4607435,152.5982232,209.7781435,91.01142753,112.3635773,76.65651474,102.7189622,128.3546891,121.7054999,13.91954293,105.1157476,12.40360729,139.2121344,27.01885006,105.0234358,10.83288921,139.2121344,0.970837113,-0.175992112,1,0.355475517,1,-0.375013947,1,0.179483405,1,-0.195530542,1,-0.01953843,1,NA,NA,Stable
MI0000065,hsa-let-7d,hsa-let-7d-5p,chr9:94178841-94178862,+,Single miR only,hsa-let-7d-5p,1823.267764,1157.488856,1276.409157,1578.178604,1864.036503,1043.341898,1221.231894,1505.146426,1739.686878,1291.593673,1232.659091,1371.517164,1655.54393,1040.792981,1035.676994,1292.991858,1458.836095,150.3171154,1408.43918,179.1795667,1408.864202,113.8855649,1256.251441,146.0193436,1458.836095,0.751700386,-0.024790785,1,-0.027592039,1,-0.15377856,1,-0.052382824,1,-0.206161384,0.781915601,-0.181370598,0.972720231,NA,NA,Stable
MI0000066,hsa-let-7e,hsa-let-7e-3p,chr19:51692838-51692859,+,<1% RPMM,hsa-let-7e-3p***,23.89603885,16.78168648,23.56492158,21.83945998,22.14551628,16.56758998,19.9380352,38.0734891,17.67300956,30.34623757,30.08973371,22.21012819,15.08959311,19.52571602,20.78317986,30.51451098,21.52052672,1.64268412,24.18115764,4.770667404,25.07977725,3.108192955,21.47824999,3.25018539,25.07977725,0.992535394,0.152250415,1,0.054992856,1,-0.239276724,1,0.207243271,1,-0.032033453,1,-0.184283868,1,NA,NA,Stable
MI0000066,hsa-let-7e,hsa-let-7e-5p,chr19:51692793-51692814,+,Single miR only,hsa-let-7e-5p,8040.698459,7288.286439,5632.739107,8825.732954,8500.945071,5936.192466,5517.061347,7782.297703,9021.887286,5706.971239,4747.717983,8482.599033,8693.62656,6618.783826,4291.019359,7522.069136,7446.86424,681.3048099,6934.124147,717.5340181,6989.793885,1042.049627,6781.37472,932.4537941,7446.86424,0.991300861,-0.072274711,1,-0.063260336,1,-0.012071482,1,-0.135535047,1,-0.147606529,1,-0.075331818,1,NA,NA,Stable
MI0000067,hsa-let-7f-1,hsa-let-7f-1-3p,chr9:94176409-94176430,+,<1% RPMM,hsa-let-7f-1-3p***,25.48910811,17.67670976,18.07125888,13.32577219,23.02547057,22.47863967,18.19481901,17.79313812,19.6980419,23.69896648,18.18983902,23.3790823,17.6494348,18.51327148,18.93336804,22.03825793,18.64071223,2.523269895,20.37301684,1.38050348,21.24148243,1.36330778,19.28358306,0.956325636,21.24148243,0.992535394,0.164698958,1,0.021545963,1,-0.11533687,1,0.186244921,1,0.070908051,1,-0.093790907,1,NA,NA,Stable
MI0000067,hsa-let-7f-1,hsa-let-7f-5p,chr9:94176353-94176374,+,Single miR only,hsa-let-7f-5p,4350.034912,2777.480991,2794.973183,3758.793159,4046.763117,2647.400974,2467.849373,3200.086325,3897.266795,2851.101272,2132.801125,4070.799209,3989.17645,2888.070352,2343.276326,3222.429231,3420.320561,385.4904377,3090.524948,354.7861868,3237.9921,456.3754311,3110.73809,344.3238961,3420.320561,0.992535394,-0.111454067,1,0.006546275,1,-0.01525044,1,-0.104907792,1,-0.120158233,1,-0.008704166,1,NA,NA,Stable
MI0000068,hsa-let-7f-2,hsa-let-7f-2-3p,chrX:53557196-53557217,-,<1% RPMM,hsa-let-7f-2-3p***,3.345445439,8.95023279,3.035971491,2.961282709,4.253112398,11.65559094,4.793844529,2.678536922,3.865970841,4.913200368,3.229971415,8.68365914,4.041855298,6.797841873,2.39387412,4.843573172,4.573233107,1.461367685,5.845271198,1.988057871,5.173200441,1.220515895,4.519286116,0.914799376,5.845271198,0.992535394,0.402824906,1,-0.112911135,1,-0.257914658,1,0.289913771,1,0.031999113,1,-0.370825793,1,NA,NA,Stable
MI0000068,hsa-let-7f-2,hsa-let-7f-5p,chrX:53557246-53557267,-,Single miR only,hsa-let-7f-5p,21437.61437,19757.86264,20129.21384,22430.0508,27175.48166,18957.4024,18811.80859,13516.08863,24098.2531,13593.66937,13540.38017,23584.48424,25008.7102,18590.21727,15399.24815,13676.31321,20938.68541,613.9141823,19615.19532,2820.093877,18704.19672,2967.821053,18168.62221,2496.911742,20938.68541,0.992535394,-0.094684784,1,-0.111174306,1,-0.017524224,1,-0.20585909,1,-0.223383314,1,-0.12869853,1,NA,NA,Stable
MI0000069,hsa-mir-15a,hsa-miR-15a-5p,chr13:50049167-50049188,-,Single miR only,hsa-miR-15a-5p,130.4723721,272.5345885,161.9184795,170.2737558,143.7258673,304.2941778,136.8424711,111.3506063,172.495937,111.9920672,102.6790913,200.392134,206.4040772,235.0317669,147.0056334,137.0731208,183.799799,30.79424094,174.0532806,43.96846693,146.8898074,23.61251878,181.3786496,23.53970608,183.799799,0.992535394,-0.090500287,1,-0.171724596,1,0.269942424,1,-0.262224883,1,0.007717541,1,0.098217828,1,NA,NA,Stable
MI0000069,hsa-mir-15a,hsa-miR-15a-3p,chr13:50049130-50049151,-,<1% RPMM,hsa-miR-15a-3p***,0,0.447511639,0.144570071,0.185080169,0,0.333016884,0,0,0,0,0,0.66797378,0.13472851,0,0.32643738,0,0.19429047,0.093285715,0.083254221,0.083254221,0.166993445,0.166993445,0.115291472,0.077214334,0.19429047,NA,-1.146546157,NA,0.879103672,1,0.593297378,1,-0.267442486,NA,0.325854892,NA,1.472401049,NA,NA,NA,Stable
MI0000070,hsa-mir-16-1,hsa-miR-16-5p,chr13:50049027-50049048,-,Single miR only,hsa-miR-16-5p,599.1533474,1597.616553,898.0692812,728.1053861,343.0355138,1123.598967,618.1880423,738.8935423,575.4773738,337.5657664,396.946487,1103.492685,1132.123669,1491.041529,784.2113991,1142.114554,955.7361419,222.5426887,705.9290163,161.9992336,603.370578,174.2037255,1137.372788,144.2955828,1137.372788,0.486483077,-0.439430679,1,-0.182080235,1,0.919293368,0.448355809,-0.621510914,1,0.297782454,1,0.737213133,0.864943757,NA,NA,Stable
MI0000070,hsa-mir-16-1,hsa-miR-16-1-3p,chr13:50048985-50049006,-,<1% RPMM,hsa-miR-16-1-3p***,0,0.559389549,0.144570071,0,0.146659048,0.582779547,0,0,0.18409385,0,0,0.33398689,0,0.723174667,0.32643738,0.968714634,0.175989905,0.132264693,0.182359649,0.137876971,0.129520185,0.080795975,0.50458167,0.213997733,0.50458167,NA,-0.022093426,NA,0.068677772,1,1.626054275,1,0.046584346,NA,1.672638621,1,1.694732047,NA,NA,NA,Stable
MI0000071,hsa-mir-17,hsa-miR-17-3p,chr13:91350655-91350676,+,<20% RPMM,hsa-miR-17-3p*,4.77920777,12.86595964,12.14388597,11.10481016,5.133066688,15.73504777,8.716080962,11.47944395,11.22972482,9.826400735,7.309935307,17.03333139,18.45780586,12.14933441,10.55480862,11.14021829,10.22346588,1.850394117,10.26590984,2.238529709,11.34984806,2.06070779,13.0755418,1.82405682,13.0755418,0.989342575,0.00920437,1,0.137223913,1,0.286429054,1,0.146428283,1,0.432857337,1,0.423652967,1,NA,NA,Stable
MI0000071,hsa-mir-17,hsa-miR-17-5p,chr13:91350618-91350640,+,Single miR only,hsa-miR-17-5p,85.0698983,123.5132125,67.94793338,144.3625321,77.28931841,139.2010575,66.24221531,117.6643005,94.99242638,95.0848777,56.7794975,154.3019432,100.6421969,104.7156918,73.88366033,152.8147336,105.2233941,17.46905107,100.0992229,17.08818824,100.2896862,20.13622651,108.0140707,16.42459571,108.0140707,0.992535394,-0.028650552,1,-0.06740096,1,0.162983782,1,-0.096051512,1,0.06693227,1,0.095582822,1,NA,NA,Stable
MI0000072,hsa-mir-18a,hsa-miR-18a-3p,chr13:91350797-91350819,+,>20% RPMM,hsa-miR-18a-3p,3.66405929,0.895023279,5.204522557,4.812084402,1.319931434,3.413423061,3.486432385,6.313694173,3.865970841,7.803318231,4.759957874,4.67581646,3.907126788,3.76050827,5.005373159,6.538823782,3.643922382,0.972836368,3.633370263,1.024943209,5.276265852,0.866123507,4.802958,0.641834409,5.276265852,0.970837113,-0.012866412,1,0.63322049,1,-0.179118622,1,0.620354078,1,0.441235456,1,0.454101868,1,NA,NA,Stable
MI0000072,hsa-mir-18a,hsa-miR-18a-5p,chr13:91350756-91350778,+,Single miR only,hsa-miR-18a-5p,2.708217736,9.397744429,3.325111633,5.55240508,5.279725736,9.574235416,3.813285421,3.443833185,2.761407744,2.601106077,3.059972919,8.01568536,2.964027218,5.062222672,1.95862428,4.117037196,5.24586972,1.512751818,5.52776994,1.405870381,4.109543025,1.305513823,3.525477841,0.675881155,5.52776994,0.967009342,0.189044702,1,-0.467242157,1,-0.240624442,1,-0.278197455,1,-0.518821897,1,-0.707866599,1,NA,NA,Stable
MI0000073,hsa-mir-19a,hsa-miR-19a-3p,chr13:91350939-91350961,+,Single miR only,hsa-miR-19a-3p,2.708217736,13.42534918,6.071942983,7.773367112,2.199885723,17.98291174,5.120697565,4.400453515,2.761407744,2.456600184,4.589959379,10.85457393,5.119683377,8.388826141,4.026061019,6.054466465,7.494719254,2.23951083,7.425987135,3.573385495,5.165635308,1.953940609,5.897259251,0.928198378,7.494719254,0.997263686,-0.083755189,1,-0.293084682,1,0.227931302,1,-0.376839871,1,-0.14890857,1,-0.06515338,1,NA,NA,Stable
