"EnsID.y","EnsID","EnsName.x","GeneClassUpdate.x","EnsName.y","GeneClassUpdate.y","pairs","AbsDistLnc_PCG","DistLnc_PCG","str.x","str.y","LncRNA-PCG Relationship"
"ENSG00000001036.13","MSTRG.28277",NA,"Bona fide lncRNA","FUCA2","Protein coding","MSTRG.28277-ENSG00000001036.13",565.229,-565.229,"+","-","Intergenic"
"ENSG00000001084.10","ENSG00000216775.2","RP1-152L7.5","Bona fide lncRNA","GCLC","Protein coding","ENSG00000216775.2-ENSG00000001084.10",858.176,-858.176,"+","-","Intergenic"
"ENSG00000001084.10","ENSG00000225791.6","TRAM2-AS1","Bona fide lncRNA","GCLC","Protein coding","ENSG00000225791.6-ENSG00000001084.10",945.839,-945.839,"+","-","Intergenic"
"ENSG00000002016.17","ENSG00000177406.4","RP11-218M22.1","Bona fide lncRNA","RAD52","Protein coding","ENSG00000177406.4-ENSG00000002016.17",271.217,-271.217,"+","-","Intergenic"
"ENSG00000002330.13","ENSG00000254614.2","AP003068.23","Bona fide lncRNA","BAD","Protein coding","ENSG00000254614.2-ENSG00000002330.13",897.13,897.13,"-","-","Intergenic"
"ENSG00000002330.13","MSTRG.5432",NA,"Bona fide lncRNA","BAD","Protein coding","MSTRG.5432-ENSG00000002330.13",98.864,-98.864,"-","-","Intergenic"
"ENSG00000002330.13","ENSG00000256940.1","RP11-783K16.5","Bona fide lncRNA","BAD","Protein coding","ENSG00000256940.1-ENSG00000002330.13",37.585,-37.585,"+","-","Intergenic"
"ENSG00000002586.18","ENSG00000223773.7","CD99P1","Bona fide lncRNA","CD99","Protein coding","ENSG00000223773.7-ENSG00000002586.18",81.785,-81.785,"+","+","Intergenic"
"ENSG00000002586.18_PAR_Y","ENSG00000223773.7_PAR_Y","CD99P1","Bona fide lncRNA","CD99","Protein coding","ENSG00000223773.7_PAR_Y-ENSG00000002586.18_PAR_Y",81.785,-81.785,"+","+","Intergenic"
"ENSG00000002822.15","ENSG00000230487.7","PSMG3-AS1","Bona fide lncRNA","MAD1L1","Protein coding","ENSG00000230487.7-ENSG00000002822.15",662.828,-662.828,"+","-","Intergenic"
"ENSG00000002834.17","ENSG00000276170.4","AC124789.1","Bona fide lncRNA","LASP1","Protein coding","ENSG00000276170.4-ENSG00000002834.17",416.954,-416.954,"-","+","Intergenic"
"ENSG00000002919.14","ENSG00000230148.8","HOXB-AS1","Bona fide lncRNA","SNX11","Protein coding","ENSG00000230148.8-ENSG00000002919.14",435.966,435.966,"+","+","Intergenic"
"ENSG00000002919.14","ENSG00000264920.1","RP11-6N17.4","Bona fide lncRNA","SNX11","Protein coding","ENSG00000264920.1-ENSG00000002919.14",211.746,-211.746,"-","+","Intergenic"
"ENSG00000002919.14","ENSG00000234494.7","SP2-AS1","Bona fide lncRNA","SNX11","Protein coding","ENSG00000234494.7-ENSG00000002919.14",166.148,-166.148,"-","+","Intergenic"
"ENSG00000003056.7","ENSG00000249790.2","RP11-20D14.6","Bona fide lncRNA","M6PR","Protein coding","ENSG00000249790.2-ENSG00000003056.7",155.612,-155.612,"+","-","Intergenic"
"ENSG00000003509.15","ENSG00000227292.1","AC009229.5","Bona fide lncRNA","NDUFAF7","Protein coding","ENSG00000227292.1-ENSG00000003509.15",992.134,992.134,"-","+","Intergenic"
"ENSG00000003509.15","ENSG00000260025.1","RP11-490M8.1","Bona fide lncRNA","NDUFAF7","Protein coding","ENSG00000260025.1-ENSG00000003509.15",876.084,-876.084,"-","+","Intergenic"
"ENSG00000004399.12","ENSG00000271270.5","TMCC1-AS1","Bona fide lncRNA","PLXND1","Protein coding","ENSG00000271270.5-ENSG00000004399.12",287.053,287.053,"+","-","Intergenic"
"ENSG00000004478.7","MSTRG.6504",NA,"Bona fide lncRNA","FKBP4","Protein coding","MSTRG.6504-ENSG00000004478.7",538.73,-538.73,"-","+","Intergenic"
"ENSG00000004766.15","ENSG00000236453.5","AC003092.1","Bona fide lncRNA","VPS50","Protein coding","ENSG00000236453.5-ENSG00000004766.15",763.219,763.219,"+","+","Intergenic"
"ENSG00000004776.12","ENSG00000226510.1","UPK1A-AS1","Bona fide lncRNA","HSPB6","Protein coding","ENSG00000226510.1-ENSG00000004776.12",83.738,-83.738,"-","-","Intergenic"
"ENSG00000004776.12","ENSG00000232677.6","LINC00665","Bona fide lncRNA","HSPB6","Protein coding","ENSG00000232677.6-ENSG00000004776.12",564.149,564.149,"-","-","Intergenic"
"ENSG00000004776.12","ENSG00000236144.6","TMEM147-AS1","Bona fide lncRNA","HSPB6","Protein coding","ENSG00000236144.6-ENSG00000004776.12",211,-211,"-","-","Intergenic"
"ENSG00000004776.12","ENSG00000233527.8","ZNF529-AS1","Bona fide lncRNA","HSPB6","Protein coding","ENSG00000233527.8-ENSG00000004776.12",814.991,814.991,"+","-","Intergenic"
"ENSG00000004776.12","ENSG00000225975.6","LINC01534","Bona fide lncRNA","HSPB6","Protein coding","ENSG00000225975.6-ENSG00000004776.12",929.331,929.331,"-","-","Intergenic"
"ENSG00000004779.9","ENSG00000260136.5","CTD-2270L9.4","Bona fide lncRNA","NDUFAB1","Protein coding","ENSG00000260136.5-ENSG00000004779.9",143.349,-143.349,"+","-","Intergenic"
"ENSG00000004897.11","ENSG00000234494.7","SP2-AS1","Bona fide lncRNA","CDC27","CC","ENSG00000234494.7-ENSG00000004897.11",752.093,752.093,"-","-","Intergenic"
"ENSG00000004897.11","ENSG00000214401.4","KANSL1-AS1","Bona fide lncRNA","CDC27","CC","ENSG00000214401.4-ENSG00000004897.11",930.319,-930.319,"+","-","Intergenic"
"ENSG00000004897.11","ENSG00000264920.1","RP11-6N17.4","Bona fide lncRNA","CDC27","CC","ENSG00000264920.1-ENSG00000004897.11",706.503,706.503,"-","-","Intergenic"
"ENSG00000004975.11","ENSG00000267532.5","MIR497HG","Bona fide lncRNA","DVL2","Protein coding","ENSG00000267532.5-ENSG00000004975.11",208.412,-208.412,"-","-","Intergenic"
"ENSG00000004975.11","ENSG00000215067.9","ALOX12-AS1","Bona fide lncRNA","DVL2","Protein coding","ENSG00000215067.9-ENSG00000004975.11",215.693,-215.693,"-","-","Intergenic"
"ENSG00000005007.12","MSTRG.16351",NA,"Bona fide lncRNA","UPF1","Protein coding","MSTRG.16351-ENSG00000005007.12",623.613,-623.613,"+","+","Intergenic"
"ENSG00000005020.12","ENSG00000240990.9","HOXA11-AS","Bona fide lncRNA","SKAP2","Protein coding","ENSG00000240990.9-ENSG00000005020.12",320.295,320.295,"+","-","Intergenic"
"ENSG00000005020.12","ENSG00000233429.9","HOTAIRM1","Bona fide lncRNA","SKAP2","Protein coding","ENSG00000233429.9-ENSG00000005020.12",230.981,230.981,"+","-","Intergenic"
"ENSG00000005073.5","ENSG00000240990.9","HOXA11-AS","Bona fide lncRNA","HOXA11","TF","ENSG00000240990.9-ENSG00000005073.5",0.185,0.185,"+","-","Bidirectional"
"ENSG00000005073.5","ENSG00000233429.9","HOTAIRM1","Bona fide lncRNA","HOXA11","TF","ENSG00000233429.9-ENSG00000005073.5",85.597,-85.597,"+","-","Intergenic"
"ENSG00000005156.11","ENSG00000267321.2","LINC02001","Bona fide lncRNA","LIG3","CC","ENSG00000267321.2-ENSG00000005156.11",570.402,570.402,"+","+","Intergenic"
"ENSG00000005175.9","ENSG00000257433.5","RP1-197B17.3","Bona fide lncRNA","RPAP3","Protein coding","ENSG00000257433.5-ENSG00000005175.9",0.033,0.033,"+","-","Bidirectional"
"ENSG00000005194.14","ENSG00000260823.1","RP11-249C24.10","Bona fide lncRNA","CIAPIN1","Protein coding","ENSG00000260823.1-ENSG00000005194.14",836.031,-836.031,"-","-","Intergenic"
"ENSG00000005238.19","MSTRG.31782",NA,"Bona fide lncRNA","FAM214B","Protein coding","MSTRG.31782-ENSG00000005238.19",445.792,-445.792,"+","-","Intergenic"
"ENSG00000005243.9","ENSG00000264920.1","RP11-6N17.4","Bona fide lncRNA","COPZ2","Protein coding","ENSG00000264920.1-ENSG00000005243.9",137.44,-137.44,"-","-","Intergenic"
"ENSG00000005243.9","ENSG00000234494.7","SP2-AS1","Bona fide lncRNA","COPZ2","Protein coding","ENSG00000234494.7-ENSG00000005243.9",91.842,-91.842,"-","-","Intergenic"
"ENSG00000005243.9","ENSG00000230148.8","HOXB-AS1","Bona fide lncRNA","COPZ2","Protein coding","ENSG00000230148.8-ENSG00000005243.9",505.769,505.769,"+","-","Intergenic"
"ENSG00000005339.14","ENSG00000262185.1","RP11-462G12.1","Bona fide lncRNA","CREBBP","Protein coding","ENSG00000262185.1-ENSG00000005339.14",69.718,69.718,"-","-","Intergenic"
"ENSG00000005339.14","ENSG00000263072.6","ZNF213-AS1","Bona fide lncRNA","CREBBP","Protein coding","ENSG00000263072.6-ENSG00000005339.14",639.864,-639.864,"-","-","Intergenic"
"ENSG00000005339.14","ENSG00000261971.6","MMP25-AS1","Bona fide lncRNA","CREBBP","Protein coding","ENSG00000261971.6-ENSG00000005339.14",715.376,-715.376,"-","-","Intergenic"
"ENSG00000005448.16","ENSG00000237883.1","DGUOK-AS1","Bona fide lncRNA","WDR54","CC","ENSG00000237883.1-ENSG00000005448.16",440.297,-440.297,"-","+","Intergenic"
"ENSG00000005448.16","ENSG00000225439.2","BOLA3-AS1","Bona fide lncRNA","WDR54","CC","ENSG00000225439.2-ENSG00000005448.16",273.691,-273.691,"+","+","Intergenic"
"ENSG00000005469.11","ENSG00000182165.17","TP53TG1","Bona fide lncRNA","CROT","Protein coding","ENSG00000182165.17-ENSG00000005469.11",0.166,-0.166,"-","+","Bidirectional"
"ENSG00000005469.11","ENSG00000224046.1","AC005076.5","Bona fide lncRNA","CROT","Protein coding","ENSG00000224046.1-ENSG00000005469.11",193.261,-193.261,"-","+","Intergenic"
"ENSG00000005483.20","ENSG00000228393.3","LINC01004","Bona fide lncRNA","KMT2E","Protein coding","ENSG00000228393.3-ENSG00000005483.20",0.113,0.113,"-","+","Bidirectional"
"ENSG00000005486.16","ENSG00000205485.13","AC004980.7","Bona fide lncRNA","RHBDD2","Protein coding","ENSG00000205485.13-ENSG00000005486.16",665.87,665.87,"+","+","Intergenic"
"ENSG00000006015.17","MSTRG.16351",NA,"Bona fide lncRNA","C19orf60","Protein coding","MSTRG.16351-ENSG00000006015.17",380.4,-380.4,"+","+","Intergenic"
"ENSG00000006016.10","MSTRG.16351",NA,"Bona fide lncRNA","CRLF1","Protein coding","MSTRG.16351-ENSG00000006016.10",385.809,-385.809,"+","-","Intergenic"
"ENSG00000006025.11","ENSG00000230148.8","HOXB-AS1","Bona fide lncRNA","OSBPL7","Protein coding","ENSG00000230148.8-ENSG00000006025.11",721.77,721.77,"+","-","Intergenic"
"ENSG00000006025.11","ENSG00000234494.7","SP2-AS1","Bona fide lncRNA","OSBPL7","Protein coding","ENSG00000234494.7-ENSG00000006025.11",119.578,119.578,"-","-","Intergenic"
"ENSG00000006025.11","ENSG00000264920.1","RP11-6N17.4","Bona fide lncRNA","OSBPL7","Protein coding","ENSG00000264920.1-ENSG00000006025.11",73.988,73.988,"-","-","Intergenic"
"ENSG00000006062.14","ENSG00000214401.4","KANSL1-AS1","Bona fide lncRNA","MAP3K14","Protein coding","ENSG00000214401.4-ENSG00000006062.14",876.536,876.536,"+","-","Intergenic"
"ENSG00000006125.17","ENSG00000267321.2","LINC02001","Bona fide lncRNA","AP2B1","Protein coding","ENSG00000267321.2-ENSG00000006125.17",19.154,-19.154,"+","+","Intergenic"
"ENSG00000006194.9","ENSG00000260565.6","ERVK13-1","Bona fide lncRNA","ZNF263","TF","ENSG00000260565.6-ENSG00000006194.9",590.356,-590.356,"-","+","Intergenic"
"ENSG00000006194.9","ENSG00000261971.6","MMP25-AS1","Bona fide lncRNA","ZNF263","TF","ENSG00000261971.6-ENSG00000006194.9",204.43,-204.43,"-","+","Intergenic"
"ENSG00000006194.9","ENSG00000263072.6","ZNF213-AS1","Bona fide lncRNA","ZNF263","TF","ENSG00000263072.6-ENSG00000006194.9",128.918,-128.918,"-","+","Intergenic"
"ENSG00000006194.9","ENSG00000260778.5","RP11-304L19.13","Bona fide lncRNA","ZNF263","TF","ENSG00000260778.5-ENSG00000006194.9",995.137,-995.137,"+","+","Intergenic"
"ENSG00000006194.9","ENSG00000262185.1","RP11-462G12.1","Bona fide lncRNA","ZNF263","TF","ENSG00000262185.1-ENSG00000006194.9",666.489,666.489,"-","+","Intergenic"
"ENSG00000006210.6","ENSG00000260823.1","RP11-249C24.10","Bona fide lncRNA","CX3CL1","Protein coding","ENSG00000260823.1-ENSG00000006210.6",761.083,-761.083,"-","+","Intergenic"
"ENSG00000006327.13","ENSG00000260260.1","SNHG19","Bona fide lncRNA","TNFRSF12A","Protein coding","ENSG00000260260.1-ENSG00000006327.13",864.954,-864.954,"-","+","Intergenic"
"ENSG00000006327.13","ENSG00000263072.6","ZNF213-AS1","Bona fide lncRNA","TNFRSF12A","Protein coding","ENSG00000263072.6-ENSG00000006327.13",108.987,108.987,"-","+","Intergenic"
"ENSG00000006327.13","ENSG00000260778.5","RP11-304L19.13","Bona fide lncRNA","TNFRSF12A","Protein coding","ENSG00000260778.5-ENSG00000006327.13",751.649,-751.649,"+","+","Intergenic"
"ENSG00000006327.13","ENSG00000261971.6","MMP25-AS1","Bona fide lncRNA","TNFRSF12A","Protein coding","ENSG00000261971.6-ENSG00000006327.13",38.135,38.135,"-","+","Intergenic"
"ENSG00000006327.13","ENSG00000260565.6","ERVK13-1","Bona fide lncRNA","TNFRSF12A","Protein coding","ENSG00000260565.6-ENSG00000006327.13",346.868,-346.868,"-","+","Intergenic"
"ENSG00000006327.13","ENSG00000262185.1","RP11-462G12.1","Bona fide lncRNA","TNFRSF12A","Protein coding","ENSG00000262185.1-ENSG00000006327.13",930.132,930.132,"-","+","Intergenic"
"ENSG00000006534.15","ENSG00000184224.3","C11orf72","Bona fide lncRNA","ALDH3B1","Protein coding","ENSG00000184224.3-ENSG00000006534.15",403.617,-403.617,"-","+","Intergenic"
"ENSG00000006576.16","ENSG00000214293.8","APTR","Bona fide lncRNA","PHTF2","Protein coding","ENSG00000214293.8-ENSG00000006576.16",102.54,-102.54,"-","+","Intergenic"
