"EnsID.y","EnsID","pairs","loopMethod","EnsName.x","GeneClassUpdate.x","EnsName.y","GeneClassUpdate.y","Lnc_Cluster","PCG_Cluster","Lnc_Timeframe","PCG_Timeframe","AbsDistLnc_PCG","DistLnc_PCG","str.x","str.y","LncRNA.PCG.Relationship","pair_range","pair_range_bin","pairs_merge","EnsID_merge","Thyroid_Locus_Up4","Brain_Hypothalamus_Locus_Up8","Lung_Locus_Up8","Artery_Aorta_Locus_Down24","Heart_Atrial_Appendage_Locus_Down24","Lung_Locus_Down24","Skin_Not_Sun_Exposed_Suprapubic_Locus_Down24","Artery_Aorta_Locus_Up4Del","Testis_Locus_Up4Del","Adipose_Subcutaneous_Promoter_Up4Del","Artery_Aorta_Promoter_Up4Del","Artery_Tibial_Promoter_Up4Del","Cells_Cultured_fibroblasts_Promoter_Up4Del","Esophagus_Mucosa_Promoter_Up4Del","Muscle_Skeletal_Promoter_Up4Del","Testis_Promoter_Up4Del","Testis_Exon_Down4","Lung_Exon_Down24","Skin_Not_Sun_Exposed_Suprapubic_Exon_Down24","Pituitary_Exon_Up4Del","Spleen_Exon_Up4Del","Testis_Exon_Up4Del","Skin_Not_Sun_Exposed_Suprapubic_Intron_Up4","Skin_Sun_Exposed_Lower_leg_Intron_Up4","Thyroid_Intron_Up4","Brain_Hypothalamus_Intron_Up8","Artery_Aorta_Intron_Down24","Heart_Atrial_Appendage_Intron_Down24","Lung_Intron_Down24","Skin_Not_Sun_Exposed_Suprapubic_Intron_Down24","Colon_Sigmoid_TTS_Up4","Artery_Tibial_TTS_Up8","Skin_Not_Sun_Exposed_Suprapubic_TTS_Up4Del","Testis_TTS_Up4Del","Thyroid_TTS_Up4Del","SMC_biobank_Locus_Up24","SMC_biobank_Locus_Up4Del","SMC_biobank_Promoter_Up4Del","SMC_biobank_Exon_Up4Del","eQTLvalidations","lncNames","pairsNice","CClncRNA_Type","PairType"
"ENSG00000010818.9","MSTRG.28277","MSTRG.28277-ENSG00000010818.9","Both",NA,"Bona fide lncRNA","HIVEP2","TF","Induced <4hrs","Induced <4hrs","<4hrs","<4hrs",0.114,0.114,"+","-","Bidirectional",205928,"200-300kbp","MSTRG.28277-ENSG00000010818","ENSG00000010818",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"MSTRG.28277","MSTRG.28277-HIVEP2","Induced 0-4hr","Same timeframe"
"ENSG00000041802.10","MSTRG.23674","MSTRG.23674-ENSG00000041802.10","Neither",NA,"Bona fide lncRNA","LSG1","Protein coding","Induced <4hrs","Induced <4hrs","<4hrs","<4hrs",185.128,-185.128,"+","-","Intergenic",187373,"100-200kbp","MSTRG.23674-ENSG00000041802","ENSG00000041802",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"MSTRG.23674","MSTRG.23674-LSG1","Induced 0-4hr","Same timeframe"
"ENSG00000056558.10","ENSG00000226752.9","ENSG00000226752.9-ENSG00000056558.10","Neither","PSMD5-AS1","Bona fide lncRNA","TRAF1","Protein coding","Repressed <4hrs","Induced <4hrs","<4hrs","<4hrs",82.44,-82.44,"+","-","Intergenic",88099,"50-100kbp","ENSG00000226752.9-ENSG00000056558","ENSG00000056558",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"PSMD5-AS1","PSMD5-AS1-TRAF1","Repressed 0-4hr","Same timeframe"
"ENSG00000057019.15","ENSG00000240476.1","ENSG00000240476.1-ENSG00000057019.15","Both","LINC00973","Bona fide lncRNA","DCBLD2","Protein coding","Induced <4hrs","Induced 4-8hrs","<4hrs","4-8hrs",79.347,79.347,"+","-","Intergenic",203006,"200-300kbp","ENSG00000240476.1-ENSG00000057019","ENSG00000057019",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,13,"LINC00973","LINC00973-DCBLD2","Induced 0-4hr","Later timeframe"
"ENSG00000076662.9","MSTRG.16057","MSTRG.16057-ENSG00000076662.9","Neither",NA,"Bona fide lncRNA","ICAM3","Protein coding","Induced <4hrs","Induced 4-8hrs","<4hrs","4-8hrs",144.689,144.689,"-","-","Intergenic",150737,"100-200kbp","MSTRG.16057-ENSG00000076662","ENSG00000076662",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,"MSTRG.16057","MSTRG.16057-ICAM3","Induced 0-4hr","Later timeframe"
"ENSG00000084636.17","ENSG00000203620.2","ENSG00000203620.2-ENSG00000084636.17","Neither","RP11-84A19.2","Bona fide lncRNA","COL16A1","Protein coding","Induced <4hrs","Induced 4-8hrs","<4hrs","4-8hrs",150.778,150.778,"-","-","Intergenic",203322,"200-300kbp","ENSG00000203620.2-ENSG00000084636","ENSG00000084636",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,"RP11-84A19.2","RP11-84A19.2-COL16A1","Induced 0-4hr","Later timeframe"
"ENSG00000087263.16","ENSG00000260823.1","ENSG00000260823.1-ENSG00000087263.16","Neither","RP11-249C24.10","Bona fide lncRNA","OGFOD1","Protein coding","Induced <4hrs","Induced 4-8hrs","<4hrs","4-8hrs",159.813,159.813,"-","+","Intergenic",161886,"100-200kbp","ENSG00000260823.1-ENSG00000087263","ENSG00000087263",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,"RP11-249C24.10","RP11-249C24.10-OGFOD1","Induced 0-4hr","Later timeframe"
"ENSG00000091073.19","ENSG00000205485.13","ENSG00000205485.13-ENSG00000091073.19","FitHiC","AC004980.7","Bona fide lncRNA","DTX2","Protein coding","Induced <4hrs","Induced <4hrs","<4hrs","<4hrs",45.958,45.958,"+","+","Intergenic",168286,"100-200kbp","ENSG00000205485.13-ENSG00000091073","ENSG00000091073",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,"AC004980.7","AC004980.7-DTX2","Induced 0-4hr","Same timeframe"
"ENSG00000100330.15","ENSG00000232530.1","ENSG00000232530.1-ENSG00000100330.15","Neither","RP1-102K2.6","Bona fide lncRNA","MTMR3","Protein coding","Induced <4hrs","Repressed <4hrs","<4hrs","<4hrs",221.11,221.11,"+","+","Intergenic",359384,"300-400kbp","ENSG00000232530.1-ENSG00000100330","ENSG00000100330",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,"RP1-102K2.6","RP1-102K2.6-MTMR3","Induced 0-4hr","Same timeframe"
"ENSG00000103356.15","ENSG00000260136.5","ENSG00000260136.5-ENSG00000103356.15","Neither","CTD-2270L9.4","Bona fide lncRNA","EARS2","Protein coding","Induced 4-8hrs","Induced 4-8hrs","4-8hrs","4-8hrs",70.911,-70.911,"+","-","Intergenic",106642,"100-200kbp","ENSG00000260136.5-ENSG00000103356","ENSG00000103356",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,"CTD-2270L9.4","CTD-2270L9.4-EARS2","Induced 4-8hr","Same timeframe"
