"geneID","AnchorGene","CAT_geneClassII","pairs","mid.x","mid.y","AbsDistLnc_PCG","DistLnc_PCG"
"ENSG00000107625.8","CATG00000000008.1","coding_mRNA","CATG00000000008.1-ENSG00000107625.8",69087943.5,68901296.5,186.647,186.647
"ENSG00000122862.4","CATG00000000008.1","coding_mRNA","CATG00000000008.1-ENSG00000122862.4",69087943.5,69088107,0.1635,-0.1635
"ENSG00000122958.10","CATG00000000008.1","coding_mRNA","CATG00000000008.1-ENSG00000122958.10",69089041.5,69124204.5,35.163,-35.163
"ENSG00000156502.9","CATG00000000008.1","coding_mRNA","CATG00000000008.1-ENSG00000156502.9",69089041.5,69180256,91.2145,-91.2145
"ENSG00000156515.17","CATG00000000008.1","coding_mRNA","CATG00000000008.1-ENSG00000156515.17",69089041.5,69318880.5,229.839,-229.839
"ENSG00000165732.8","CATG00000000008.1","coding_mRNA","CATG00000000008.1-ENSG00000165732.8",69087943.5,68956173,131.7705,131.7705
"ENSG00000198954.4","CATG00000000008.1","coding_mRNA","CATG00000000008.1-ENSG00000198954.4",69087943.5,68988796.5,99.147,99.147
"ENSG00000107625.8","CATG00000000010.1","coding_mRNA","CATG00000000010.1-ENSG00000107625.8",69123902.5,68901296.5,222.606,222.606
"ENSG00000122862.4","CATG00000000010.1","coding_mRNA","CATG00000000010.1-ENSG00000122862.4",69123902.5,69088107,35.7955,35.7955
"ENSG00000122958.10","CATG00000000010.1","coding_mRNA","CATG00000000010.1-ENSG00000122958.10",69123902.5,69124204.5,0.302,-0.302
"ENSG00000156502.9","CATG00000000010.1","coding_mRNA","CATG00000000010.1-ENSG00000156502.9",69123902.5,69180256,56.3535,-56.3535
"ENSG00000156515.17","CATG00000000010.1","coding_mRNA","CATG00000000010.1-ENSG00000156515.17",69123902.5,69318880.5,194.978,-194.978
"ENSG00000165732.8","CATG00000000010.1","coding_mRNA","CATG00000000010.1-ENSG00000165732.8",69123902.5,68956173,167.7295,167.7295
"ENSG00000198954.4","CATG00000000010.1","coding_mRNA","CATG00000000010.1-ENSG00000198954.4",69123902.5,68988796.5,135.106,135.106
"ENSG00000042286.10","CATG00000000026.1","coding_mRNA","CATG00000000026.1-ENSG00000042286.10",69956749,70132830,176.081,-176.081
"ENSG00000079332.10","CATG00000000026.1","coding_mRNA","CATG00000000026.1-ENSG00000079332.10",69956749,70170495.5,213.7465,-213.7465
"ENSG00000099284.9","CATG00000000026.1","coding_mRNA","CATG00000000026.1-ENSG00000099284.9",69956749,70052855,96.106,-96.106
"ENSG00000156521.9","CATG00000000026.1","coding_mRNA","CATG00000000026.1-ENSG00000156521.9",69956749,70146212,189.463,-189.463
"ENSG00000107731.8","CATG00000000072.1","coding_mRNA","CATG00000000072.1-ENSG00000107731.8",71377466.5,71212552,164.9145,164.9145
"ENSG00000107736.15","CATG00000000072.1","coding_mRNA","CATG00000000072.1-ENSG00000107736.15",71377466.5,71396933.5,19.467,-19.467
"ENSG00000198246.7","CATG00000000072.1","coding_mRNA","CATG00000000072.1-ENSG00000198246.7",71377466.5,71319255.5,58.211,58.211
"ENSG00000107738.15","CATG00000000084.1","coding_mRNA","CATG00000000084.1-ENSG00000107738.15",71878543.5,71773530,105.0135,105.0135
"ENSG00000197746.9","CATG00000000084.1","coding_mRNA","CATG00000000084.1-ENSG00000197746.9",71878543.5,71851297,27.2465,27.2465
"ENSG00000035403.12","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000035403.12",73781952,73998122.5,216.1705,-216.1705
"ENSG00000122861.11","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000122861.11",73781952,73911132.5,129.1805,-129.1805
"ENSG00000148660.16","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000148660.16",73781952,73874535.5,92.5835,-92.5835
"ENSG00000166348.13","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000166348.13",73781952,73625993.5,155.9585,155.9585
"ENSG00000166507.12","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000166507.12",73781952,73811595,29.643,-29.643
"ENSG00000172586.7","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000172586.7",73781952,73782058.5,0.1065,-0.1065
"ENSG00000176986.10","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000176986.10",73781952,73744390,37.562,37.562
"ENSG00000177791.11","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000177791.11",73781952,73641759.5,140.1925,140.1925
"ENSG00000196968.6","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000196968.6",73781952,73772690.5,9.2615,9.2615
"ENSG00000214655.6","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000214655.6",73781952,73785598.5,3.6465,-3.6465
"ENSG00000267964.1","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000267964.1",73781952,73772978,8.974,8.974
"ENSG00000272916.1","CATG00000000155.1","coding_mRNA","CATG00000000155.1-ENSG00000272916.1",73781952,73811595,29.643,-29.643
"ENSG00000108219.10","CATG00000000249.1","coding_mRNA","CATG00000000249.1-ENSG00000108219.10",80453935,80454314,0.379,-0.379
"ENSG00000122359.13","CATG00000000249.1","coding_mRNA","CATG00000000249.1-ENSG00000122359.13",80453935,80205573.5,248.3615,248.3615
"ENSG00000122378.9","CATG00000000249.1","coding_mRNA","CATG00000000249.1-ENSG00000122378.9",80453935,80408525.5,45.4095,45.4095
"ENSG00000062650.13","CATG00000000321.1","coding_mRNA","CATG00000000321.1-ENSG00000062650.13",86711199.5,86521775.5,189.424,189.424
"ENSG00000107779.7","CATG00000000321.1","coding_mRNA","CATG00000000321.1-ENSG00000107779.7",86711718.5,86756609.5,44.891,-44.891
"ENSG00000107798.13","CATG00000000373.1","coding_mRNA","CATG00000000373.1-ENSG00000107798.13",89255321.5,89251835.5,3.486,3.486
"ENSG00000119917.9","CATG00000000373.1","coding_mRNA","CATG00000000373.1-ENSG00000119917.9",89255321.5,89327991,72.6695,-72.6695
"ENSG00000119922.7","CATG00000000373.1","coding_mRNA","CATG00000000373.1-ENSG00000119922.7",89255321.5,89302047,46.7255,-46.7255
"ENSG00000138135.5","CATG00000000373.1","coding_mRNA","CATG00000000373.1-ENSG00000138135.5",89255321.5,89207316,48.0055,48.0055
"ENSG00000152778.7","CATG00000000373.1","coding_mRNA","CATG00000000373.1-ENSG00000152778.7",89255321.5,89414602,159.2805,-159.2805
"ENSG00000185745.8","CATG00000000373.1","coding_mRNA","CATG00000000373.1-ENSG00000185745.8",89255321.5,89392637,137.3155,-137.3155
"ENSG00000148677.6","CATG00000000419.1","coding_mRNA","CATG00000000419.1-ENSG00000148677.6",91003500.5,90921088,82.4125,82.4125
"ENSG00000148680.11","CATG00000000419.1","coding_mRNA","CATG00000000419.1-ENSG00000148680.11",91003500.5,90858014,145.4865,145.4865
"ENSG00000148688.9","CATG00000000419.1","coding_mRNA","CATG00000000419.1-ENSG00000148688.9",91003500.5,90871974,131.5265,131.5265
"ENSG00000180628.10","CATG00000000419.1","coding_mRNA","CATG00000000419.1-ENSG00000180628.10",91003500.5,91220672,217.1715,-217.1715
"ENSG00000119912.11","CATG00000000459.1","coding_mRNA","CATG00000000459.1-ENSG00000119912.11",92689754,92574065.5,115.6885,115.6885
"ENSG00000138160.4","CATG00000000459.1","coding_mRNA","CATG00000000459.1-ENSG00000138160.4",92689754,92593143.5,96.6105,96.6105
"ENSG00000138190.12","CATG00000000459.1","coding_mRNA","CATG00000000459.1-ENSG00000138190.12",92689754,92848473,158.719,-158.719
"ENSG00000152804.6","CATG00000000459.1","coding_mRNA","CATG00000000459.1-ENSG00000152804.6",92689754,92689954,0.2,-0.2
"ENSG00000148690.10","CATG00000000491.1","coding_mRNA","CATG00000000491.1-ENSG00000148690.10",93876428,93702565,173.863,173.863
"ENSG00000176273.10","CATG00000000491.1","coding_mRNA","CATG00000000491.1-ENSG00000176273.10",93876428,93893969.5,17.5415,-17.5415
"ENSG00000095585.12","CATG00000000529.1","coding_mRNA","CATG00000000529.1-ENSG00000095585.12",96130725.5,96271529,140.8035,-140.8035
"ENSG00000107443.11","CATG00000000529.1","coding_mRNA","CATG00000000529.1-ENSG00000107443.11",96129942.5,96043557.5,86.385,86.385
"ENSG00000059915.12","CATG00000000659.1","coding_mRNA","CATG00000000659.1-ENSG00000059915.12",102395571.5,102409267,13.6955,-13.6955
"ENSG00000077150.13","CATG00000000659.1","coding_mRNA","CATG00000000659.1-ENSG00000077150.13",102395571.5,102395710.5,0.139,-0.139
"ENSG00000107862.4","CATG00000000659.1","coding_mRNA","CATG00000000659.1-ENSG00000107862.4",102394335.5,102245530.5,148.805,148.805
"ENSG00000107872.8","CATG00000000659.1","coding_mRNA","CATG00000000659.1-ENSG00000107872.8",102395571.5,102420836,25.2645,-25.2645
"ENSG00000107874.6","CATG00000000659.1","coding_mRNA","CATG00000000659.1-ENSG00000107874.6",102395571.5,102432594,37.0225,-37.0225
"ENSG00000107882.7","CATG00000000659.1","coding_mRNA","CATG00000000659.1-ENSG00000107882.7",102395571.5,102503970,108.3985,-108.3985
"ENSG00000138107.7","CATG00000000659.1","coding_mRNA","CATG00000000659.1-ENSG00000138107.7",102395571.5,102502718,107.1465,-107.1465
"ENSG00000138111.10","CATG00000000659.1","coding_mRNA","CATG00000000659.1-ENSG00000138111.10",102395571.5,102461406,65.8345,-65.8345
"ENSG00000166197.12","CATG00000000659.1","coding_mRNA","CATG00000000659.1-ENSG00000166197.12",102394335.5,102152391.5,241.944,241.944
"ENSG00000171206.9","CATG00000000659.1","coding_mRNA","CATG00000000659.1-ENSG00000171206.9",102395571.5,102643666,248.0945,-248.0945
"CATG00000116287.1","CATG00000000687.1","coding_mRNA","CATG00000000687.1-CATG00000116287.1",103241816.5,103192654.5,49.162,49.162
"ENSG00000076685.14","CATG00000000687.1","coding_mRNA","CATG00000000687.1-ENSG00000076685.14",103241816.5,103193278.5,48.538,48.538
"ENSG00000138172.6","CATG00000000687.1","coding_mRNA","CATG00000000687.1-ENSG00000138172.6",103241816.5,103452369.5,210.553,-210.553
"ENSG00000148835.9","CATG00000000687.1","coding_mRNA","CATG00000000687.1-ENSG00000148835.9",103241816.5,103367970,126.1535,-126.1535
"ENSG00000148843.9","CATG00000000687.1","coding_mRNA","CATG00000000687.1-ENSG00000148843.9",103241816.5,103396649.5,154.833,-154.833
"ENSG00000156374.10","CATG00000000687.1","coding_mRNA","CATG00000000687.1-ENSG00000156374.10",103241816.5,103351101.5,109.285,-109.285
"ENSG00000173915.8","CATG00000000687.1","coding_mRNA","CATG00000000687.1-ENSG00000173915.8",103241816.5,103396466.5,154.65,-154.65
"ENSG00000185933.6","CATG00000000687.1","coding_mRNA","CATG00000000687.1-ENSG00000185933.6",103241816.5,103458890,217.0735,-217.0735
"ENSG00000120051.10","CATG00000000704.1","coding_mRNA","CATG00000000704.1-ENSG00000120051.10",104255842.5,104338528.5,82.686,-82.686
"ENSG00000148834.8","CATG00000000704.1","coding_mRNA","CATG00000000704.1-ENSG00000148834.8",104255842.5,104254897,0.9455,0.9455
"ENSG00000148841.11","CATG00000000704.1","coding_mRNA","CATG00000000704.1-ENSG00000148841.11",104255842.5,104338453,82.6105,-82.6105
"ENSG00000156384.10","CATG00000000704.1","coding_mRNA","CATG00000000704.1-ENSG00000156384.10",104255842.5,104122163,133.6795,133.6795
"ENSG00000078618.15","CATG00000000858.1","coding_mRNA","CATG00000000858.1-ENSG00000078618.15",51879007.5,51878727,0.2805,0.2805
"ENSG00000117859.14","CATG00000000858.1","coding_mRNA","CATG00000000858.1-ENSG00000117859.14",51879007.5,51729847.5,149.16,149.16
"ENSG00000117862.7","CATG00000000858.1","coding_mRNA","CATG00000000858.1-ENSG00000117862.7",51879283.5,52055186.5,175.903,-175.903
"ENSG00000134717.13","CATG00000000858.1","coding_mRNA","CATG00000000858.1-ENSG00000134717.13",51879283.5,52056266.5,176.983,-176.983
"ENSG00000198841.3","CATG00000000858.1","coding_mRNA","CATG00000000858.1-ENSG00000198841.3",51879283.5,52033799.5,154.516,-154.516
"ENSG00000085840.8","CATG00000001007.1","coding_mRNA","CATG00000001007.1-ENSG00000085840.8",52365443.5,52404411,38.9675,-38.9675
"ENSG00000134744.9","CATG00000001007.1","coding_mRNA","CATG00000001007.1-ENSG00000134744.9",52365443.5,52553088.5,187.645,-187.645
"ENSG00000134748.12","CATG00000001007.1","coding_mRNA","CATG00000001007.1-ENSG00000134748.12",52365443.5,52404607,39.1635,-39.1635
"ENSG00000154222.10","CATG00000001007.1","coding_mRNA","CATG00000001007.1-ENSG00000154222.10",52365443.5,52366167.5,0.724,-0.724
"ENSG00000157077.10","CATG00000001007.1","coding_mRNA","CATG00000001007.1-ENSG00000157077.10",52365443.5,52142101.5,223.342,223.342
"ENSG00000107651.8","CATG00000001043.1","coding_mRNA","CATG00000001043.1-ENSG00000107651.8",119725785,119892733.5,166.9485,-166.9485
"ENSG00000148908.10","CATG00000001043.1","coding_mRNA","CATG00000001043.1-ENSG00000148908.10",119725785,119542708.5,183.0765,183.0765
"ENSG00000151923.13","CATG00000001043.1","coding_mRNA","CATG00000001043.1-ENSG00000151923.13",119725785,119596962.5,128.8225,128.8225
"ENSG00000151929.5","CATG00000001043.1","coding_mRNA","CATG00000001043.1-ENSG00000151929.5",119725785,119651569.5,74.2155,74.2155
"ENSG00000197771.8","CATG00000001043.1","coding_mRNA","CATG00000001043.1-ENSG00000197771.8",119725785,119872869.5,147.0845,-147.0845
"ENSG00000198825.7","CATG00000001043.1","coding_mRNA","CATG00000001043.1-ENSG00000198825.7",119725785,119726057.5,0.2725,-0.2725
"ENSG00000023191.12","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000023191.12",568775,507227,61.548,61.548
"ENSG00000069696.6","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000069696.6",568992,613800,44.808,-44.808
"ENSG00000070047.7","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000070047.7",568992,576475.5,7.4835,-7.4835
"ENSG00000099849.10","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000099849.10",568775,561002.5,7.7725,7.7725
"ENSG00000142089.11","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000142089.11",568775,320857,247.918,247.918
"ENSG00000174775.12","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000174775.12",568775,535554,33.221,33.221
"ENSG00000174915.7","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000174915.7",568775,450295,118.48,118.48
"ENSG00000177030.12","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000177030.12",568992,695040.5,126.0485,-126.0485
"ENSG00000177042.10","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000177042.10",568992,695399,126.407,-126.407
"ENSG00000177106.10","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000177106.10",568992,706240,137.248,-137.248
"ENSG00000177156.6","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000177156.6",568992,747446.5,178.4545,-178.4545
"ENSG00000177225.12","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000177225.12",568992,777487.5,208.4955,-208.4955
"ENSG00000177542.6","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000177542.6",568992,796230.5,227.2385,-227.2385
"ENSG00000177595.13","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000177595.13",568992,809501,240.509,-240.509
"ENSG00000177600.4","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000177600.4",568992,809969.5,240.9775,-240.9775
"ENSG00000184363.5","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000184363.5",568775,397265,171.51,171.51
"ENSG00000185101.8","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000185101.8",568775,442072,126.703,126.703
"ENSG00000185187.8","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000185187.8",568775,407149.5,161.6255,161.6255
"ENSG00000185507.15","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000185507.15",568992,615950,46.958,-46.958
"ENSG00000185522.4","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000185522.4",568775,560723.5,8.0515,8.0515
